"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-19",,"56","23",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-20",,"66","23","37"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-21",,"73","36",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-22",,"53","30",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-23",,"48","28",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-24",,"50","25","33"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-25",,"71","33","33"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-26",,"66","33","33"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-27",,"81","33",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-28",,"72","33","34"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-29",,"79","34",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-30",,"71","33",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-03-31",,"51","28","29"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-01",,"62","29","41"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-02",,"63","27","28"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-03",,"75","28","49"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-04",,"71","36","37"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-05",,"65","37",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-06",,"89","30",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-07",,"57","25",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-08",,"60","27","32"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-04-09",,"68","32","45"
