2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Malden - Beebe,01650003,      43,  20.6,        884,  49.8,  50.2,  24.5,  13.0,42.2
Malden - Ferryway,01650013,      39,  22.9,        895,  50.6,  49.4,  21.7,  11.7,44.6
Malden - Forestdale,01650027,      36,  16.2,        582,  48.5,  51.5,  13.1,  23.0,40.4
Malden - Linden,01650047,      47,  18.0,        844,  48.7,  51.2,  10.9,  21.1,35.9
Malden - Malden Early Learning Center,01650049,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Malden - Malden High,01650505,      97,  21.5,"      1,825",  48.3,  51.6,  16.5,  13.8,39.5
Malden - Salemwood,01650057,      66,  17.3,"      1,002",  48.5,  51.5,  31.8,   9.5,50.7
Manchester Essex Regional - Essex Elementary,06980020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Manchester Essex Regional - Manchester Essex Regional High School,06980510,      29,  17.7,        435,  57.2,  42.8,   0.7,  10.3,5.5
Manchester Essex Regional - Manchester Essex Regional Middle School,06980030,      18,  20.5,        369,  46.6,  53.4,   0.3,  12.2,6
Manchester Essex Regional - Manchester Memorial Elementary,06980010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Mansfield - Everett W Robinson,01670007,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Mansfield - Harold L Qualters Middle,01670035,      65,  14.8,        950,  47.7,  52.3,   1.9,  16.7,12.5
Mansfield - Jordan/Jackson Elementary,01670014,       4,  30.3,        121,  49.6,  50.4,   7.4,  12.4,20.7
Mansfield - Mansfield High,01670505,      80,  16.7,"      1,262",  50.2,  49.8,   0.6,   8.6,10.8
Mansfield - Roland Green School,01670003,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marblehead - Elbridge Gerry,01680015,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marblehead - Glover,01680020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marblehead - L H Coffin,01680010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marblehead - Malcolm L Bell,01680005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marblehead - Marblehead High,01680505,      63,  17.6,"      1,019",  53.5,  46.5,   1.9,  16.8,9.1
Marblehead - Marblehead Veterans Middle School,01680300,      31,  17.5,        497,  51.3,  48.7,   3.4,  24.3,8.9
Marblehead - Village School,01680016,       5,  43.8,        219,  47.9,  52.1,   5.9,  21.0,12.3
Marblehead Community Charter Public (District) - Marblehead Community Charter Public School,04640305,      10,  23.1,        230,  39.6,  60.4,   0.4,  25.7,10.4
Marion - Sippican,01690005,      23,  18.5,        426,  47.7,  52.3,   0.5,  19.2,19.5
Marlborough - 1 LT Charles W. Whitcomb School,01700045,      85,  18.1,"      1,389",  48.3,  51.7,  18.8,  17.8,37.2
Marlborough - Charles Jaworek School,01700030,      36,  22.8,        820,  47.0,  53.0,  34.1,  13.4,34.9
Marlborough - Early Childhood Center,01700006,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marlborough - Francis J Kane,01700008,      28,  23.3,        650,  49.2,  50.8,  27.8,  15.8,33.5
Marlborough - Marlborough High,01700505,      68,  17.7,"      1,118",  49.6,  50.4,  16.5,  14.5,29.1
Marlborough - Richer,01700025,      28,  22.9,        640,  49.4,  50.6,  40.9,  15.0,42
Marshfield - Daniel Webster,01710015,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marshfield - Eames Way School,01710005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marshfield - Furnace Brook Middle,01710310,     101,  14.5,        966,  46.6,  53.4,   0.8,  15.8,9.5
Marshfield - Gov Edward Winslow,01710020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marshfield - Marshfield High,01710505,      74,  18.2,"      1,311",  51.0,  49.0,   0.4,  12.7,10.8
Marshfield - Martinson Elementary,01710025,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Marshfield - South River,01710010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Martha's Vineyard - Martha's Vineyard Regional High,07000505,     117,  11.3,        618,  48.7,  51.1,   9.7,  17.5,19.9
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,04660550,      12,  14.3,        166,  56.6,  43.4,   4.8,  25.9,31.3
Martin Luther King Jr. Charter School of Excellence (District) - Martin Luther King Jr. Charter School of Excellence,04920005,      18,  19.9,        358,  52.0,  48.0,  20.9,  21.2,73.5
Masconomet - Masconomet Regional High School,07050505,      61,  20.3,"      1,130",  52.0,  47.9,   0.4,  15.0,5.7
Masconomet - Masconomet Regional Middle School,07050405,      48,  20.5,        657,  50.7,  49.3,   0.6,  20.7,4.9
Mashpee - Kenneth Coombs School,01720005,      19,  18.7,        349,  47.9,  52.1,   6.9,  11.7,37.2
Mashpee - Mashpee High,01720505,      40,  13.4,        451,  48.6,  51.4,   0.4,  13.1,23.1
Mashpee - Mashpee Middle School,01720020,      24,  14.6,        272,  51.8,  48.2,   1.5,  16.9,22.1
Mashpee - Quashnet School,01720035,      52,  18.9,        498,  50.2,  49.8,   2.2,  16.7,30.5
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District - Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010900,      22,  27.0,        581,  53.5,  46.5,   0.2,  21.7,50.8
Mattapoisett - Center,01730005,      13,  16.6,        216,  52.3,  47.7,   0.9,  14.4,17.1
Mattapoisett - Old Hammondtown,01730010,      12,  17.0,        204,  45.6,  54.4,   0.5,  13.7,13.7
Maynard - Fowler School,01740305,      30,  17.3,        517,  49.9,  50.1,   2.7,  18.2,16.1
Maynard - Green Meadow,01740010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Maynard - Maynard High,01740505,      25,  17.5,        372,  52.7,  47.3,   4.8,  15.6,16.7
Medfield - Dale Street,01750005,      16,  22.9,        366,  47.5,  52.5,   2.5,  11.7,2.5
Medfield - Medfield Senior High,01750505,      50,  17.2,        816,  50.7,  49.3,   1.0,   8.7,5.1
Medfield - Memorial School,01750003,      17,  21.8,        371,  50.7,  49.3,   1.1,   8.6,5.4
Medfield - Ralph Wheelock School,01750007,      16,  23.6,        377,  46.2,  53.8,   2.1,  12.5,4.8
Medfield - Thomas Blake Middle,01750305,      66,  15.8,        622,  49.0,  51.0,   0.3,  12.4,2.7
Medford - Brooks School,01760130,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Medford - Christopher Columbus,01760140,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Medford - Curtis-Tufts,01760510,       4,   8.5,         25,  36.0,  64.0,   4.0,  96.0,56
Medford - John J McGlynn Elementary School,01760068,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Medford - John J. McGlynn Middle School,01760320,      37,  12.4,        456,  46.7,  53.3,  16.0,  18.4,36.6
Medford - Madeleine Dugger Andrews,01760315,      58,  12.2,        504,  46.4,  53.6,   0.2,  20.6,19.2
Medford - Medford High,01760505,      94,  15.6,"      1,322",  51.3,  48.7,   8.5,  16.0,26.7
Medford - Milton Fuller Roberts,01760150,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Medway - Burke/Memorial Elementary School,01770015,      24,  21.4,        513,  52.4,  47.6,   1.4,  19.3,10.1
Medway - John D Mc Govern Elementary,01770013,       8,  19.5,        156,  52.6,  47.4,   6.4,  14.7,12.2
Medway - Medway High,01770505,      42,  19.0,        719,  47.7,  52.3,   0.0,  10.4,9
Medway - Medway Middle,01770305,      35,  20.1,        702,  51.3,  48.7,   0.6,  18.7,9.8
Melrose - Early Childhood Center,01780003,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Melrose - Herbert Clark Hoover,01780017,      13,  20.5,        267,  47.6,  52.4,   3.7,  10.1,10.9
Melrose - Horace Mann,01780025,      12,  23.0,        276,  54.0,  46.0,   0.4,  12.3,2.5
Melrose - Lincoln,01780020,      20,  20.9,        418,  53.1,  46.9,  19.6,  13.9,18.7
Melrose - Melrose High,01780505,      51,  20.5,        992,  53.8,  46.2,   1.7,  12.0,11.1
Melrose - Melrose Middle,01780305,      64,  16.7,        785,  50.3,  49.7,   3.3,  17.2,11.3
Melrose - Roosevelt,01780035,      20,  21.8,        435,  47.4,  52.6,   7.8,  14.7,13.1
Melrose - Winthrop,01780050,      19,  21.4,        406,  49.5,  50.5,   0.5,  11.8,5.9
Mendon-Upton - Henry P Clough,07100179,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Mendon-Upton - Memorial School,07100001,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Mendon-Upton - Miscoe Hill School,07100015,      37,  21.1,        779,  49.3,  50.7,   0.3,  15.9,8
Mendon-Upton - Nipmuc Regional High,07100510,      40,  19.8,        617,  54.5,  45.5,   0.2,  10.0,8.3
Methuen - Comprehensive Grammar School,01810050,      28,  18.5,        516,  50.8,  49.2,  13.4,  14.9,30.2
Methuen - Donald P Timony Grammar,01810060,      24,  25.1,        602,  48.2,  51.8,   5.0,  13.8,38.5
Methuen - Marsh Grammar School,01810030,      27,  19.7,        533,  49.3,  50.7,   2.4,  17.8,23.5
Methuen - Methuen High,01810505,     110,  18.0,"      1,866",  47.4,  52.6,   6.5,   7.3,28.8
Methuen - Tenney Grammar School,01810055,      29,  22.2,        644,  46.1,  53.9,   4.3,  16.8,34.9
Middleborough - Henry B. Burkland Elementary School,01820008,      29,  19.9,        578,  47.6,  52.4,   1.0,  18.3,33
Middleborough - John T. Nichols Middle,01820305,      47,  17.1,        804,  50.1,  49.9,   1.0,  18.8,27.6
Middleborough - Mary K. Goode Elementary School,01820010,      28,  20.1,        562,  49.3,  50.7,   0.9,  18.1,28.3
Middleborough - Memorial Early Childhood Center,01820011,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Middleborough - Middleborough High,01820505,      60,  14.9,        693,  48.5,  51.5,   0.3,  15.2,20.9
Middleton - Fuller Meadow,01840003,      14,   3.6,         51,  62.7,  37.3,   2.0,  25.5,7.8
Middleton - Howe-Manning,01840005,      19,  15.8,        301,  46.5,  53.5,   0.0,  19.9,8.3
Milford - Brookside,01850065,      27,  17.5,        472,  48.5,  51.5,  29.7,  12.1,39.6
Milford - Memorial,01850010,      27,  18.1,        488,  49.2,  50.8,  31.6,  12.9,35.7
Milford - Milford High,01850505,      64,  18.2,"      1,118",  51.5,  48.5,   9.8,  11.7,25.6
Milford - Shining Star Early Childhood Center,01850075,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Milford - Stacy Middle,01850305,      70,  15.8,"      1,002",  47.4,  52.6,  11.1,  14.3,30.4
Milford - Woodland,01850090,      53,  18.5,        980,  46.9,  53.1,  19.9,  14.0,34.5
Millbury - Elmwood Street,01860017,      30,  19.9,        597,  47.2,  52.8,   6.5,  15.7,27.8
Millbury - Millbury Junior/Senior High,01860505,      52,  15.4,        698,  52.3,  47.7,   1.1,  14.6,20.6
Millbury - Raymond E. Shaw Elementary,01860025,      23,  19.0,        436,  51.1,  48.9,   3.4,  18.1,26.4
Millis - Clyde F Brown,01870005,      28,  18.0,        504,  51.0,  49.0,   1.8,  15.9,9.1
Millis - Millis High School,01870505,      22,  17.3,        379,  48.8,  51.2,   0.5,   8.2,9.8
Millis - Millis Middle,01870020,      23,  18.4,        405,  47.2,  52.8,   0.7,  11.6,12.3
Milton - Charles S Pierce Middle,01890410,      71,  16.3,        907,  50.3,  49.7,   0.8,  15.7,10.6
Milton - Collicot,01890005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Milton - Cunningham School,01890007,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Milton - Glover,01890010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Milton - Milton High,01890505,      54,  19.1,"      1,003",  50.7,  49.2,   1.5,  10.7,10.8
Milton - Tucker,01890020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Minuteman Regional Vocational Technical - Minuteman Regional High,08300605,      40,  15.0,        524,  36.8,  63.0,   1.5,  50.2,20.2
Mohawk Trail - Buckland-Shelburne Regional,07170005,       1,  19.0,         19,  42.1,  57.9,   0.0,  36.8,36.8
Mohawk Trail - Colrain Central,07170010,       1,  19.0,         19,  63.2,  36.8,   0.0,  21.1,36.8
Mohawk Trail - Mohawk Trail Regional High,07170505,      47,  10.9,        362,  53.0,  47.0,   0.3,  22.9,32.9
Mohawk Trail - Sanderson Academy,07170020,       1,  13.0,         13,  30.8,  69.2,   0.0,  30.8,7.7
Monomoy Regional School District - Chatham Elementary School,07120001,      14,  15.8,        221,  57.5,  42.5,   7.7,  18.1,27.1
Monomoy Regional School District - Harwich Elementary School,07120002,      29,  17.4,        506,  47.8,  52.2,   5.3,  12.1,25.7
Monomoy Regional School District - Monomoy Regional High School,07120515,      48,  14.1,        583,  49.2,  50.8,   3.8,  10.3,22
Monomoy Regional School District - Monomoy Regional Middle School,07120315,      37,  13.0,        460,  50.4,  49.6,   4.3,  18.5,29.1
Monson - Granite Valley Middle,01910310,      15,  18.9,        284,  50.4,  49.6,   0.7,  19.4,23.6
Monson - Monson High School,01910505,      27,  13.1,        249,  50.6,  49.4,   0.0,  13.3,17.3
Monson - Quarry Hill Community School,01910025,      18,  18.9,        340,  46.8,  53.2,   1.5,  18.2,32.9
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,08320605,      71,  21.3,"      1,386",  46.7,  53.0,   0.6,  14.6,21.9
Mount Greylock - Mt Greylock Regional High,07150505,      40,  13.8,        518,  52.3,  47.7,   0.0,  12.5,12.5
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,04700105,      84,  21.6,"      1,510",  50.2,  49.8,   2.1,  13.2,17.5
Nahant - Johnson,01960010,       7,  17.4,        122,  54.9,  45.1,   0.0,   7.4,21.3
Nantucket - Cyrus Peirce,01970010,      21,  18.5,        361,  49.6,  50.4,  15.2,  15.2,21.1
Nantucket - Nantucket Elementary,01970005,      19,  18.8,        334,  47.0,  53.0,  29.9,  10.2,26.6
Nantucket - Nantucket High,01970505,      32,  17.2,        536,  47.6,  52.4,  12.9,  14.4,18.1
Nantucket - Nantucket Intermediate School,01970020,      20,  22.1,        387,  47.8,  52.2,  20.7,  11.1,20.7
Narragansett - Baldwinville Elementary,07200005,      12,  23.6,        283,  43.1,  56.9,   0.4,  19.1,28.3
Narragansett - Narragansett Middle,07200305,      18,  24.2,        435,  47.6,  52.4,   0.0,  15.6,29
Narragansett - Narragansett Regional High,07200505,      28,  12.7,        333,  53.5,  46.5,   0.3,  14.1,22.8
Narragansett - Phillipston Memorial,07200003,       5,  18.2,         91,  39.6,  60.4,   1.1,  24.2,39.6
Narragansett - Templeton Center,07200020,       8,  21.9,        175,  46.9,  53.1,   0.0,  18.9,26.9
Nashoba - Center School,07250020,       6,  10.3,         62,  64.5,  35.5,   9.7,  17.7,11.3
Nashoba - Florence Sawyer School,07250025,      14,  17.8,        249,  53.0,  47.0,   0.4,  13.7,4.8
Nashoba - Hale,07250310,      16,  18.6,        298,  54.7,  45.3,   2.0,  13.4,4.4
Nashoba - Luther Burbank Middle School,07250305,      13,  17.9,        233,  45.9,  54.1,   1.7,  17.2,13.7
Nashoba - Mary Rowlandson Elementary,07250010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Nashoba - Nashoba Regional,07250505,      55,  17.9,        940,  50.6,  49.4,   0.4,  10.2,3.9
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,08520605,      41,  17.3,        672,  40.3,  59.4,   0.4,  36.3,17.3
Natick - Bennett-Hemenway,01980005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Natick - Brown,01980010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Natick - J F Kennedy Middle School,01980305,      30,  21.7,        642,  49.4,  50.6,   3.3,  13.4,6.7
Natick - Johnson,01980031,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Natick - Lilja Elementary,01980035,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Natick - Memorial,01980043,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Natick - Natick High,01980505,     173,  19.1,"      1,582",  50.6,  49.4,   2.1,  12.6,8.2
Natick - Wilson Middle,01980310,      48,  20.1,        941,  49.0,  51.0,   0.4,  17.0,9.9
Nauset - Nauset Regional High,06600505,      54,  17.2,        889,  54.4,  45.6,   2.4,   9.4,17.5
Nauset - Nauset Regional Middle,06600305,      48,  15.7,        565,  48.5,  51.3,   1.4,  20.7,19.5
Needham - Broadmeadow,01990005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Needham - High Rock School,01990410,      22,  20.7,        456,  50.9,  49.1,   1.8,  19.3,5.7
Needham - Hillside Elementary,01990035,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Needham - John Eliot,01990020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Needham - Needham High,01990505,      94,  18.1,"      1,635",  49.4,  50.5,   0.5,  16.4,5.2
Needham - Newman Elementary,01990050,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Needham - Pollard Middle,01990405,      55,  16.9,        846,  53.0,  47.0,   1.1,  17.6,4.7
Needham - William Mitchell,01990040,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Neighborhood House Charter (District) - Neighborhood House Charter School,04440205,       7,  44.4,        310,  44.5,  55.5,   5.2,  21.6,42.9
New Bedford - Abraham Lincoln,02010095,      34,  21.2,        720,  47.8,  52.2,  18.5,  14.7,66.4
New Bedford - Alfred J Gomes,02010063,      26,  20.6,        535,  46.9,  53.1,  74.2,  22.2,76.3
New Bedford - Betsey B Winslow,02010140,      13,  23.5,        306,  51.6,  48.4,  11.4,  12.7,47.7
New Bedford - Carlos Pacheco,02010105,      18,  19.3,        348,  44.5,  55.5,  46.0,  17.5,75
New Bedford - Casimir Pulaski,02010123,      36,  17.2,        620,  43.2,  56.8,  15.8,  28.2,45.8
New Bedford - Charles S Ashley,02010010,      15,  18.5,        278,  47.8,  52.2,  13.7,  15.8,54.7
New Bedford - Elizabeth Carter Brooks,02010015,      12,  22.2,        266,  47.0,  53.0,  23.7,  13.9,68.4
New Bedford - Ellen R Hathaway,02010075,      16,  18.0,        288,  49.7,  50.3,  60.1,  19.1,73.3
New Bedford - Elwyn G Campbell,02010020,      10,  22.3,        223,  53.4,  46.6,  25.1,  21.5,56.1
New Bedford - Hayden/McFadden,02010078,      34,  18.5,        628,  48.4,  51.6,  52.1,  22.1,81.1
New Bedford - Irwin M. Jacobs Elementary School,02010070,      15,  21.5,        323,  52.6,  47.4,  50.8,  18.3,81.4
New Bedford - James B Congdon,02010040,      18,  18.8,        338,  51.8,  48.2,  43.5,  15.4,72.8
New Bedford - Jireh Swift,02010130,      10,  21.3,        213,  54.0,  46.0,  11.3,  11.7,50.7
New Bedford - John Avery Parker,02010115,      12,  19.3,        231,  45.9,  54.1,  38.1,  15.2,67.5
New Bedford - John B Devalles,02010050,      21,  18.2,        382,  51.8,  48.2,  37.2,  20.7,79.1
New Bedford - Keith Middle School,02010405,      48,  17.8,        852,  48.6,  51.4,  23.5,  22.8,65.1
New Bedford - New Bedford High,02010505,     163,  17.0,"      1,946",  48.0,  52.0,  30.6,  15.5,60.1
New Bedford - Normandin Middle School,02010410,      72,  16.3,"      1,176",  47.7,  52.3,  23.0,  19.5,59.1
New Bedford - Renaissance Community School for the Arts,02010124,      10,  19.2,        192,  55.2,  44.8,  57.3,  14.6,73.4
New Bedford - Roosevelt Middle School,02010415,      48,  16.6,        798,  47.7,  52.3,  29.4,  25.4,70.9
New Bedford - Sgt Wm H Carney Academy,02010045,      45,  16.2,        731,  43.6,  56.4,  15.6,  25.4,68.5
New Bedford - Thomas R Rodman,02010125,       9,  21.9,        197,  43.1,  56.9,  23.4,  13.7,68.5
New Bedford - Trinity Day Academy,02010510,      14,   7.4,         89,  37.1,  62.9,   4.5,  96.6,86.5
New Bedford - Whaling City Junior/Senior High School,02010515,      19,   5.1,         96,  28.1,  71.9,  14.6,  34.4,82.3
New Bedford - William H Taylor,02010135,      11,  19.6,        216,  51.9,  48.1,  13.4,  10.6,53.7
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,35130305,      37,  24.5,        451,  50.1,  49.9,  10.4,  10.2,41
New Salem-Wendell - Swift River,07280015,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Newburyport - Edward G. Molin Elementary School,02040030,       1,  11.0,         11,  81.8,  18.2,   0.0,   9.1,27.3
Newburyport - Francis T Bresnahan Elementary,02040005,       1, 122.0,        122,  63.9,  36.1,   0.8,  20.5,9.8
Newburyport - Newburyport High,02040505,      82,  20.0,        764,  54.2,  45.8,   1.3,   8.1,8
Newburyport - Rupert A Nock Middle,02040305,      27,  20.7,        559,  46.2,  53.8,   1.3,  17.2,8.6
Newton - A E Angier,02070005,      21,  22.3,        469,  52.2,  47.8,   7.0,  18.8,3.8
Newton - Bigelow Middle,02070305,      28,  18.4,        511,  52.4,  47.6,   6.7,  18.6,10.4
Newton - Bowen,02070015,      19,  22.3,        424,  47.2,  52.8,  14.6,  14.4,6.6
Newton - C C Burr,02070020,      19,  20.7,        394,  49.7,  50.3,  10.7,  15.7,9.4
Newton - Cabot,02070025,      20,  19.9,        398,  52.5,  47.5,   6.5,  12.6,7.3
Newton - Charles E Brown Middle,02070310,      35,  21.1,        740,  48.1,  51.9,   2.7,  19.9,6.8
Newton - Countryside,02070040,      20,  21.1,        421,  50.8,  49.2,  16.6,  16.2,12.4
Newton - F A Day Middle,02070315,      47,  20.9,        955,  44.8,  55.2,   3.1,  18.0,7.3
Newton - Franklin,02070055,      21,  20.6,        432,  55.6,  44.4,   4.4,  16.9,6.9
Newton - Horace Mann,02070075,      18,  22.7,        409,  44.0,  56.0,   8.6,  11.2,9
Newton - John Ward,02070120,      16,  19.2,        307,  51.1,  48.9,   5.5,  15.0,3.3
Newton - Lincoln-Eliot,02070070,      18,  20.4,        367,  52.6,  47.1,  21.8,  21.0,20.2
Newton - Mason-Rice,02070080,      22,  23.7,        521,  48.0,  52.0,   6.3,  12.5,2.7
Newton - Memorial Spaulding,02070105,      22,  20.5,        452,  47.3,  52.7,  10.8,  19.0,6.4
Newton - Newton Early Childhood Center,02070108,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Newton - Newton North High,02070505,     116,  19.9,"      2,110",  50.0,  49.8,   3.1,  21.4,9.9
Newton - Newton South High,02070510,     110,  17.5,"      1,802",  49.2,  50.7,   2.8,  16.3,8.7
Newton - Oak Hill Middle,02070320,      31,  19.6,        607,  49.8,  50.2,   6.4,  18.3,8.6
Newton - Peirce,02070100,      14,  19.5,        273,  49.1,  50.9,   5.1,  10.6,6.6
Newton - Underwood,02070115,      14,  20.7,        290,  53.8,  46.2,  10.0,  13.8,10
Newton - Williams,02070125,      14,  20.4,        286,  43.7,  56.3,  10.5,  16.8,7
Newton - Zervas,02070130,      19,  21.6,        411,  50.4,  49.4,  14.1,  16.8,8.8
Norfolk - Freeman-Kennedy School,02080005,       6,  20.2,        121,  43.0,  57.0,   0.0,  13.2,3.3
Norfolk - H Olive Day,02080015,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Norfolk County Agricultural - Norfolk County Agricultural,09150705,      30,  18.3,        547,  69.3,  30.7,   0.2,  19.7,14.1
North Adams - Brayton,02090035,      11,  16.5,        181,  53.6,  46.4,   0.6,  24.9,70.2
North Adams - Colegrove Park Elementary,02090008,      10,  23.0,        230,  47.8,  52.2,   2.2,  26.5,62.6
North Adams - Drury High,02090505,      32,  16.0,        491,  53.6,  46.4,   0.0,  19.1,49.7
North Adams - Greylock,02090015,      10,  18.7,        187,  49.7,  50.3,   1.1,  18.2,56.1
North Andover - Annie L Sargent School,02110018,      28,  20.1,        563,  49.4,  50.6,   1.1,  14.4,6.7
North Andover - Atkinson,02110001,      19,  23.9,        455,  51.2,  48.8,   7.9,  14.7,30.5
North Andover - Franklin,02110010,      27,  16.8,        454,  44.5,  55.5,   1.1,  18.1,8.4
North Andover - Kittredge,02110015,      13,  22.2,        289,  44.3,  55.7,   1.0,  14.9,10.4
North Andover - North Andover High,02110505,     173,  22.3,"      1,480",  52.1,  47.9,   1.1,   8.0,11.1
North Andover - North Andover Middle,02110305,      67,  21.8,"      1,111",  48.6,  51.4,   1.1,  13.7,14.9
North Andover - Thomson,02110020,      17,  20.0,        340,  52.4,  47.6,   8.5,  15.0,23.2
North Attleborough - Amvet Boulevard,02120007,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Attleborough - Community,02120030,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Attleborough - Falls,02120010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Attleborough - Joseph W Martin Jr Elementary,02120013,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Attleborough - North Attleboro High,02120505,      70,  17.0,"      1,120",  50.3,  49.6,   1.7,  12.0,12.5
North Attleborough - North Attleborough Early Learning Center,02120020,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Attleborough - North Attleborough Middle,02120305,      67,  17.0,"      1,091",  48.7,  51.1,   1.6,  17.3,13.7
North Attleborough - Roosevelt Avenue,02120015,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Brookfield - North Brookfield Elementary,02150015,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Brookfield - North Brookfield High,02150505,      11,  16.1,        172,  54.7,  45.3,   0.0,  17.4,27.3
North Middlesex - Ashby Elementary,07350010,      10,  18.5,        185,  43.2,  56.8,   0.0,  36.2,30.8
North Middlesex - Hawthorne Brook,07350030,      26,  19.1,        496,  50.2,  49.8,   1.4,  18.3,17.1
North Middlesex - Nissitissit Middle School,07350310,      39,  13.4,        521,  48.4,  51.6,   0.2,  24.4,12.3
North Middlesex - North Middlesex Regional,07350505,      46,  18.2,        788,  54.1,  45.9,   0.4,  12.6,13.5
North Middlesex - Peter Fitzpatrick School,07350515,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Middlesex - Spaulding Memorial,07350005,      20,  21.5,        429,  50.3,  49.7,   4.2,  20.7,23.8
North Middlesex - Squannacook Early Childhood Center,07350002,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Middlesex - Varnum Brook,07350035,      26,  21.0,        546,  47.1,  52.9,   0.2,  23.3,21.4
North Reading - E Ethel Little School,02170003,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Reading - J Turner Hood,02170010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Reading - L D Batchelder,02170005,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
North Reading - North Reading High,02170505,      37,  21.9,        706,  51.0,  49.0,   0.7,  13.2,6.5
North Reading - North Reading Middle,02170305,      32,  16.8,        539,  50.6,  49.4,   0.6,  20.6,7.8
Northampton - Bridge Street,02100005,      10,  19.1,        191,  43.5,  56.5,   6.3,  28.3,39.3
Northampton - Jackson Street,02100020,      15,  20.4,        306,  54.9,  45.1,   6.2,  18.3,27.5
Northampton - John F Kennedy Middle School,02100410,      45,  13.5,        606,  47.5,  52.5,   3.8,  24.9,25.2
Northampton - Leeds,02100025,      13,  19.2,        249,  46.2,  53.8,   2.0,  22.5,18.5
