2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Belmont - Roger E Wellington,00260035,      25,  22.6,        566,  46.5,  53.5,  14.0,   8.8,5.3
Belmont - Winn Brook,00260005,      21,  23.0,        482,  46.7,  53.3,  16.4,   8.7,2.3
Belmont - Winthrop L Chenery Middle,00260305,      70,  20.9,"      1,420",  50.9,  49.1,   3.6,  10.3,7.6
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,       2,  19.0,         38,  63.2,  36.8,   0.0,  13.2,55.3
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,       9,  22.3,        190,  54.2,  45.8,   1.1,  11.6,4.7
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,      18,  16.6,        281,  50.2,  49.8,  21.4,  18.1,64.4
Berkley - Berkley Community School,00270010,       9,  22.3,        201,  50.7,  49.3,   0.5,  11.9,15.9
Berkley - Berkley Middle School,00270305,      16,  24.2,        386,  51.0,  49.0,   0.3,  14.2,13.2
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,      22,  15.6,        344,  48.5,  51.5,   0.6,  22.1,38.4
Berkshire Hills - Monument Mt Regional High,06180505,      42,  11.9,        468,  47.6,  52.4,   1.5,  13.2,19.4
Berkshire Hills - Monument Valley Regional Middle School,06180310,      30,  15.4,        374,  51.3,  48.7,   2.9,  16.8,27.5
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,      21,  16.8,        351,  47.3,  52.7,   6.3,  24.5,35
Berlin - Berlin Memorial,00280005,      13,  14.5,        189,  44.4,  55.6,   3.2,  15.9,15.3
Berlin-Boylston - Tahanto Regional High,06200505,      39,  16.5,        587,  45.7,  54.3,   1.9,  15.8,10.6
Beverly - Ayers/Ryal Side School,00300055,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Beverly - Beverly High,00300505,      75,  19.6,"      1,193",  50.8,  49.1,   2.1,  14.8,20.3
Beverly - Briscoe Middle,00300305,      46,  21.7,        997,  46.2,  53.8,   2.1,  19.6,25.3
Beverly - Centerville Elementary,00300010,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Beverly - Cove Elementary,00300015,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Beverly - Hannah Elementary,00300033,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Beverly - McKeown School,00300002,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Beverly - North Beverly Elementary,00300040,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Billerica - Billerica Memorial High School,00310505,      66,  18.6,"      1,140",  50.4,  49.6,   1.6,  10.5,12.1
Billerica - Eugene C Vining,00310030,      12,  16.0,        192,  41.7,  58.3,   0.5,  17.7,21.4
Billerica - Frederick J Dutile,00310007,      16,  17.1,        274,  51.1,  48.9,   0.0,  17.9,19.3
Billerica - Hajjar Elementary,00310026,      24,  19.3,        463,  49.2,  50.8,   7.3,  14.5,19.4
Billerica - John F Kennedy,00310012,      17,  18.8,        319,  51.1,  48.9,   0.0,  13.2,13.8
Billerica - Locke Middle,00310310,      26,  19.5,        508,  47.8,  52.2,   0.0,  18.7,13.2
Billerica - Marshall Middle School,00310305,      31,  21.3,        659,  49.5,  50.5,   1.5,  20.0,15.5
Billerica - Parker,00310015,      25,  19.6,        488,  44.7,  55.3,   0.2,  21.1,16.4
Billerica - Thomas Ditson,00310005,      29,  18.2,        527,  50.3,  49.7,   2.8,  17.1,16.9
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,      69,  18.3,"      1,218",  49.6,  50.4,   0.2,   8.9,9.4
Blackstone-Millville - A F Maloney,06220015,      13,  22.8,        297,  50.5,  49.5,   3.7,  17.2,18.5
Blackstone-Millville - Blackstone Millville RHS,06220505,      25,  16.2,        388,  50.0,  50.0,   1.0,  12.9,17.5
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,      26,  16.2,        422,  49.5,  50.5,   0.5,  13.0,16.8
Blackstone-Millville - John F Kennedy Elementary,06220008,      14,  19.9,        278,  43.5,  56.5,   6.8,  17.3,21.9
Blackstone-Millville - Millville Elementary,06220010,      11,  20.6,        227,  51.1,  48.9,   0.4,  17.6,22.9
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,      48,  17.5,        841,  44.6,  55.4,   0.5,  25.6,22.2
Boston - Another Course To College,00350541,      18,  13.2,        233,  48.5,  51.5,  13.3,  21.5,58.4
Boston - Baldwin Early Learning Center,00350003,       6,  14.2,         85,  40.0,  60.0,  64.7,  22.4,34.1
Boston - Beethoven,00350021,      15,  19.0,        285,  51.2,  48.8,  30.2,  22.1,39.3
Boston - Blackstone,00350390,      29,  17.2,        498,  48.0,  52.0,  43.2,  22.9,71.3
