2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Franklin-Franklin Early Childhood Development Center,01010003,  94.9,   8.3,  29.8,  14.9,   0.8
Franklin-Jefferson Elementary,01010010,  97.0,   5.4,  13.2,   2.1,   0.9
Franklin-Helen Keller Elementary,01010012,  96.6,   6.1,  16.4,   3.2,  14.7
Franklin-J F Kennedy Memorial,01010013,  96.7,   5.9,  18.1,   2.7,   0.8
Franklin-Oak Street Elementary,01010030,  96.7,   5.9,  19.2,   3.7,   1.5
Franklin-Parmenter,01010032,  95.9,   7.1,  27.2,   5.0,   6.5
Franklin-Franklin High,01010505,  95.2,   8.4,  30.0,  10.3,  15.6
Franklin-Horace Mann,01010405,  95.9,   7.4,  24.5,   7.7,  15.9
Franklin-Annie Sullivan Middle School,01010040,  95.2,   8.5,  31.1,   9.8,  24.9
Franklin-Davis Thayer,01010035,  96.2,   6.7,  26.1,   5.6,   2.6
Franklin County Regional Vocational Technical-Franklin County Technical,08180605,  93.7,  10.8,  48.9,  20.5,   8.1
Freetown-Lakeville-Freetown Elementary School,06650001,  95.3,   8.2,  30.1,   9.4,   0.0
Freetown-Lakeville-Assawompset Elementary School,06650002,  95.7,   7.6,  28.0,   7.6,   0.0
Freetown-Lakeville-George R Austin Intermediate School,06650015,  95.9,   7.2,  26.8,   7.4,   0.0
Freetown-Lakeville-Freetown-Lakeville Middle School,06650305,  96.1,   7.0,  25.4,   7.8,   0.0
Freetown-Lakeville-Apponequet Regional High,06650505,  95.1,   8.5,  25.5,   8.0,  17.8
Frontier-Frontier Regional,06700505,  94.2,  10.3,  40.6,  13.3,   1.8
Gardner-Gardner Academy for Learning and Technology,01030515,  79.0,  33.6,  86.1,  69.4,  80.6
Gardner-Gardner Middle School,01030405,  94.4,   9.7,  37.0,  15.5,  30.4
Gardner-Gardner High,01030505,  92.9,  11.8,  44.5,  22.7,  36.6
Gardner-Waterford Street,01030020,  92.1,  13.2,  55.2,  27.8,  50.7
Gardner-Elm Street School,01030001,  94.3,   9.6,  40.3,  16.3,  33.1
Gateway-Chester Elementary,06720059,  95.4,   7.8,  33.1,   6.9,  26.9
Gateway-Littleville Elementary School,06720143,  94.6,   9.4,  31.0,  13.0,  27.5
Gateway-Gateway Regional High,06720505,  94.1,  10.0,  37.4,  13.6,  24.3
Gateway-Gateway Regional Middle School,06720405,  95.2,   8.4,  31.0,  12.3,  24.6
Georgetown-Georgetown Middle School,01050305,  95.0,   9.0,  38.7,   8.7,   1.3
Georgetown-Georgetown High School,01050505,  93.8,  11.0,  42.1,  16.3,   5.4
Georgetown-Penn Brook,01050010,  95.9,   7.3,  26.2,   5.3,   0.0
Georgetown-Perley Elementary,01050005,  93.5,   6.4,  23.6,  25.2,   0.0
Gill-Montague-Sheffield Elementary School,06740050,  95.1,   8.5,  33.5,  14.1,  11.9
Gill-Montague-Great Falls Middle,06740310,  93.3,  11.6,  37.0,  17.7,  18.5
Gill-Montague-Turners Fall High,06740505,  92.0,  13.9,  39.6,  22.9,  23.8
Gill-Montague-Hillcrest Elementary School,06740015,  94.1,  10.2,  42.5,  14.4,   8.4
Gill-Montague-Gill Elementary,06740005,  95.8,   7.4,  27.8,   6.0,   9.0
Global Learning Charter Public (District)-Global Learning Charter Public School,04960305,  96.2,   6.7,  21.8,   5.9,   7.1
Gloucester-West Parish,01070050,  95.8,   7.5,  30.3,   5.3,  27.2
Gloucester-Ralph B O'Maley Middle,01070305,  94.5,   9.9,  41.4,  14.9,  33.0
Gloucester-Gloucester High,01070505,  91.4,  14.9,  56.9,  27.6,  39.9
Gloucester-Gloucester PreSchool,01070025,  92.2,  12.7,  50.4,  27.7,  49.6
Gloucester-Beeman Memorial,01070010,  95.2,   8.4,  32.1,   9.5,  31.8
Gloucester-East Gloucester Elementary,01070020,  95.7,   7.7,  32.4,   6.0,  31.0
Gloucester-Veterans Memorial,01070045,  94.2,  10.2,  42.6,  14.4,  41.1
Gloucester-Plum Cove School,01070042,  95.3,   8.4,  33.8,   7.5,  29.1
Gosnold-Cuttyhunk Elementary,01090005,,,,,
Grafton-Grafton High School,01100505,  94.6,   9.2,  30.5,  13.2,  14.4
Grafton-Grafton Middle,01100305,  95.8,   7.5,  25.5,   4.9,  14.4
Grafton-South Grafton Elementary,01100005,  95.3,   8.0,  31.3,   9.2,  25.0
Grafton-North Grafton Elementary,01100025,  95.5,   7.6,  24.0,   8.6,  23.2
Grafton-Millbury Street Elementary School,01100200,  96.1,   6.9,  24.2,   6.5,  18.4
Grafton-North Street Elementary School,01100030,  96.5,   6.2,  19.8,   4.8,  14.1
Granby-East Meadow,01110004,  96.9,   5.5,  17.9,   3.3,  15.9
Granby-West Street,01110010,  94.5,   9.5,  30.4,  14.3,  28.1
Granby-Granby Jr Sr High School,01110505,  95.7,   7.6,  30.3,   8.1,  19.9
Greater Fall River Regional Vocational Technical-Diman Regional Vocational Technical High,08210605,  95.4,   8.1,  30.2,   8.7,   1.4
Greater Lawrence Regional Vocational Technical-Gr Lawrence Regional Vocational Technical,08230605,  95.0,   8.7,  36.3,  10.5,  36.3
Greater Lowell Regional Vocational Technical-Gr Lowell Regional Vocational Technical,08280605,  94.6,   9.3,  35.3,  13.1,  19.2
Greater New Bedford Regional Vocational Technical-Gr New Bedford Vocational Technical,08250605,  96.7,   5.7,  18.3,   5.9,  10.5
Greenfield-Federal Street School,01140010,  93.4,  11.3,  46.8,  20.2,  46.8
Greenfield-Discovery School at Four Corners,01140025,  95.6,   7.9,  30.0,   9.5,  12.3
Greenfield-The Academy of Early Learning at North Parish,01140005,  94.7,   8.0,  31.1,  14.4,  31.1
Greenfield-Greenfield Middle,01140305,  93.3,  11.6,  48.1,  19.3,  31.8
Greenfield-Greenfield High,01140505,  92.7,  12.3,  44.4,  23.3,  39.1
Greenfield-Newton School,01140035,  93.9,  10.4,  43.9,  19.2,  13.3
Groton-Dunstable-Boutwell School,06730001,  94.2,   9.0,  34.9,  16.9,   0.0
Groton-Dunstable-Swallow/Union School,06730005,  96.7,   5.8,  16.7,   1.7,   9.2
Groton-Dunstable-Florence Roche School,06730010,  96.4,   6.3,  19.4,   4.0,  10.7
Groton-Dunstable-Groton Dunstable Regional,06730505,  95.6,   7.7,  23.2,   6.2,   8.6
Groton-Dunstable-Groton Dunstable Regional Middle,06730305,  96.7,   6.0,  17.0,   3.1,   9.1
Hadley-Hadley Elementary,01170015,  96.2,   6.5,  21.9,   7.0,   0.3
Hadley-Hopkins Academy,01170505,  95.4,   8.0,  29.4,   8.6,   0.0
Halifax-Halifax Elementary,01180005,  96.3,   6.6,  21.5,   4.1,  20.0
Hamilton-Wenham-Cutler School,06750010,  96.5,   6.3,  17.9,   2.4,  15.8
Hamilton-Wenham-Winthrop School,06750015,  96.3,   6.3,  21.5,   3.4,  21.5
Hamilton-Wenham-Hamilton-Wenham Regional High,06750505,  95.4,   8.0,  30.3,   7.7,  11.8
Hamilton-Wenham-Bessie Buker Elementary,06750007,  95.9,   7.4,  30.4,   4.7,  30.4
Hamilton-Wenham-Miles River Middle,06750310,  95.7,   7.8,  28.5,   5.7,   3.7
Hampden Charter School of Science East (District)-Hampden Charter School of Science East,04990305,  96.1,   7.0,  22.8,   6.8,   1.6
Hampden-Wilbraham-Minnechaug Regional High,06800505,  95.5,   8.0,  29.7,   7.7,   0.0
Hampden-Wilbraham-Wilbraham Middle,06800310,  95.5,   8.1,  29.7,   8.3,   0.0
Hampden-Wilbraham-Thornton Burgess,06800305,  93.5,  11.4,  55.1,  16.8,   0.0
Hampden-Wilbraham-Stony Hill School,06800050,  96.0,   7.0,  25.3,   4.5,   0.0
Hampden-Wilbraham-Soule Road,06800030,  95.9,   7.3,  25.4,   5.1,   0.0
Hampden-Wilbraham-Mile Tree Elementary,06800025,  94.9,   8.8,  35.3,  10.4,   0.0
Hampden-Wilbraham-Green Meadows Elementary,06800005,  96.1,   6.9,  25.4,   5.4,   0.0
Hampshire-Hampshire Regional High,06830505,  93.6,  11.3,  47.7,  19.6,   0.1
Hancock-Hancock Elementary,01210005,  97.7,   4.2,  11.4,   0.0,   0.0
Hanover-Hanover High,01220505,  95.2,   8.7,  33.5,   8.7,  16.5
Hanover-Center Elementary,01220005,  96.0,   7.3,  29.0,   3.0,  10.9
Hanover-Sylvester,01220015,  95.9,   7.5,  26.1,   6.1,   8.7
Hanover-Hanover Middle,01220305,  95.8,   7.6,  27.2,   5.2,  21.0
Hanover-Cedar Elementary,01220004,  96.2,   6.9,  22.8,   4.9,  20.0
Harvard-Hildreth Elementary School,01250005,  95.9,   7.2,  24.9,   7.5,   1.8
Harvard-Bromfield,01250505,  95.0,   8.9,  31.6,   9.9,   7.0
Hatfield-Hatfield Elementary,01270005,  96.1,   6.8,  23.7,   7.0,   0.0
Hatfield-Smith Academy,01270505,  96.2,   6.7,  21.1,   4.7,   0.0
Haverhill-TEACH,01280073,  88.9,  18.2,  59.5,  45.2,  57.1
Haverhill-Walnut Square,01280080,  94.9,   8.8,  36.4,  12.6,  30.1
Haverhill-John G Whittier,01280085,  94.4,   9.7,  34.4,  16.2,  26.1
Haverhill-Consentino Middle School,01280100,  93.1,  11.7,  43.8,  23.1,  38.8
Haverhill-Consentino Annex at Bartlett School,01280005,  90.5,  15.9,  59.0,  39.3,  55.6
Haverhill-Bradford Elementary,01280008,  95.1,   8.6,  31.4,  13.0,  26.7
Haverhill-Crowell,01280020,  91.6,  13.6,  59.1,  36.5,  53.0
Haverhill-Golden Hill,01280026,  93.0,  11.7,  53.6,  24.6,  50.0
Haverhill-Greenleaf Kindergarten Center,01280027,  90.0,  16.6,  61.6,  46.4,  59.8
Haverhill-Caleb Dustin Hunking School,01280030,  95.3,   8.2,  29.7,  10.2,  25.5
Haverhill-Haverhill Alternative School,01280033,  77.6,  31.9,  82.7,  73.1,  82.7
Haverhill-Moody,01280045,  92.4,  12.1,  45.8,  23.7,  22.9
Haverhill-Dr Paul Nettle,01280050,  93.7,  10.8,  38.6,  20.5,  32.4
Haverhill-Pentucket Lake Elementary,01280054,  94.4,   9.6,  39.8,  16.9,  34.1
Haverhill-Haverhill High,01280505,  91.2,  14.8,  49.9,  29.2,  38.7
Haverhill-Tilton,01280075,  93.1,  11.7,  52.3,  26.0,  46.1
Hawlemont-Hawlemont Regional,06850005,  94.2,  10.0,  39.1,  14.8,  17.8
Helen Y. Davis Leadership Academy Charter Public (District)-Helen Y. Davis Leadership Academy Charter Public School,04190305,  95.2,   8.5,  28.6,  13.9,  16.5
Hill View Montessori Charter Public (District)-Hill View Montessori Charter Public School,04550050,  95.9,   7.3,  28.0,   4.6,  10.2
Hilltown Cooperative Charter Public (District)-Hilltown Cooperative Charter Public School,04500105,  96.6,   6.2,  20.6,   4.1,   3.7
Hingham-Plymouth River,01310019,  96.4,   6.4,  20.9,   3.2,   3.4
Hingham-Hingham Middle School,01310410,  96.1,   6.9,  24.1,   4.3,  14.8
Hingham-Hingham High,01310505,  95.6,   7.8,  24.6,   7.0,   8.0
Hingham-Wm L Foster Elementary,01310010,  96.3,   6.7,  23.0,   3.8,   2.7
Hingham-East Elementary School,01310005,  96.3,   6.3,  21.6,   4.7,   3.4
Hingham-South Elementary,01310020,  96.4,   6.5,  20.5,   2.8,   0.6
Holbrook-John F Kennedy,01330018,  95.7,   7.4,  25.8,   9.2,  19.9
Holbrook-Holbrook Middle High School,01330505,  94.7,   9.1,  32.6,  13.5,  17.3
Holland-Holland Elementary,01350005,  96.1,   6.9,  25.1,   4.6,   0.0
Holliston-Miller School,01360007,  96.4,   6.3,  20.7,   4.2,   0.0
Holliston-Placentino Elementary,01360010,  95.3,   8.3,  31.9,   8.8,   0.0
Holliston-Robert H. Adams Middle School,01360305,  96.4,   6.4,  19.1,   5.7,   0.0
Holliston-Holliston High,01360505,  96.2,   6.6,  21.0,   6.1,   0.2
Holyoke-Lt Elmer J McMahon Elementary,01370015,  93.9,  10.3,  42.3,  21.2,  29.0
Holyoke-Joseph Metcalf School,01370003,  93.4,  11.1,  53.3,  21.1,  34.9
Holyoke-Wm J Dean Vocational Technical High,01370605,  86.8,  21.7,  63.4,  40.8,  50.3
Holyoke-Morgan Full Service Community School,01370025,  92.8,  11.5,  49.6,  24.4,  39.7
Holyoke-William R. Peck School,01370030,  90.7,  15.0,  60.7,  35.7,  44.0
Holyoke-Kelly Elementary,01370040,  92.0,  12.8,  50.6,  28.4,  39.1
Holyoke-E N White Elementary,01370045,  93.3,  11.1,  47.8,  23.1,  32.0
Holyoke-Lt Clayre Sullivan Elementary,01370055,  93.7,  10.7,  44.8,  16.9,  26.9
Holyoke-Maurice A Donahue Elementary,01370060,  93.2,  11.1,  46.1,  21.2,  26.8
Holyoke-H.B. Lawrence School,01370070,  94.0,   9.7,  45.2,  17.3,  22.9
Holyoke-Holyoke High,01370505,  89.1,  17.6,  53.1,  32.9,  43.3
Holyoke Community Charter (District)-Holyoke Community Charter School,04530005,  94.8,   9.1,  36.8,  12.4,  11.9
Hopedale-Hopedale Jr Sr High,01380505,  95.5,   8.0,  25.2,   9.1,  15.7
Hopedale-Park Street School,01380003,  95.6,   7.9,  22.9,  10.4,  22.9
Hopedale-Memorial,01380010,  96.1,   6.8,  21.3,   5.4,   3.8
Hopkinton-Hopkinton Pre-School,01390003,  90.7,  14.8,  47.9,  26.8,  40.8
Hopkinton-Center,01390005,  95.9,   7.2,  25.3,   4.4,  11.5
Hopkinton-Elmwood,01390010,  96.8,   5.7,  16.2,   3.3,   4.1
Hopkinton-Hopkins Elementary School,01390015,  96.7,   5.8,  18.0,   3.4,  14.5
Hopkinton-Hopkinton Middle School,01390305,  96.6,   6.0,  15.6,   3.8,   7.5
Hopkinton-Hopkinton High,01390505,  96.2,   6.7,  21.8,   7.8,   9.1
Hudson-Mulready Elementary,01410007,  94.8,   9.1,  29.8,  12.7,  24.1
Hudson-Hudson High,01410505,  94.3,   9.8,  31.5,  15.9,  11.4
Hudson-David J. Quinn Middle School,01410410,  95.7,   7.5,  26.7,   8.1,  25.3
Hudson-Forest Avenue Elementary,01410015,  96.1,   6.9,  23.7,   6.6,   3.0
Hudson-C A Farley,01410030,  95.1,   8.3,  31.6,  11.6,  23.6
Hull-Memorial Middle,01420305,  94.8,   9.2,  34.9,  12.0,  24.0
Hull-Lillian M Jacobs,01420015,  94.9,   8.8,  37.7,   8.2,  30.2
Hull-Hull High,01420505,  90.4,  16.4,  50.3,  29.3,  33.2
Innovation Academy Charter (District)-Innovation Academy Charter School,04350305,  95.7,   7.6,  25.6,   6.1,   9.1
Ipswich-Ipswich High,01440505,  95.3,   8.2,  25.9,   9.9,   3.5
Ipswich-Ipswich Middle School,01440305,  95.9,   7.2,  28.5,   6.4,   0.0
Ipswich-Paul F Doyon Memorial,01440007,  96.2,   6.4,  22.7,   3.7,   0.0
Ipswich-Winthrop,01440015,  96.5,   6.0,  18.6,   3.7,   0.0
KIPP Academy Boston Charter School (District)-KIPP Academy Boston Charter School,04630205,  93.8,  11.2,  45.1,  18.0,  17.1
KIPP Academy Lynn Charter (District)-KIPP Academy Lynn Charter School,04290010,  95.1,   9.0,  30.9,  12.4,   3.5
King Philip-King Philip Regional High,06900505,  95.0,   8.8,  28.9,  11.5,   0.0
King Philip-King Philip Middle School,06900510,  95.6,   7.8,  29.5,   7.5,   7.5
Kingston-Kingston Intermediate,01450020,  96.3,   6.5,  21.2,   5.1,  17.5
Kingston-Kingston Elementary,01450005,  97.0,   5.1,  14.3,   2.1,  13.4
Lanesborough-Lanesborough Elementary,01480005,  95.3,   8.4,  36.3,   7.9,   6.5
Lawrence-UP Academy Leonard Middle School,01490090,  94.5,   9.2,  36.0,  14.0,   0.0
Lawrence-Lawrence High School,01490515,  89.6,  17.4,  54.3,  35.0,   0.4
Lawrence-Frost Middle School,01490525,  95.2,   8.3,  33.8,  12.2,   0.0
Lawrence-High School Learning Center,01490536,  73.0,  39.3,  74.1,  71.6,   1.0
Lawrence-School for Exceptional Studies,01490537,  86.9,  22.4,  59.7,  41.7,   0.0
Lawrence-Phoenix Academy Lawrence,01490540,  65.9,  52.0,  89.0,  83.8,   0.0
Lawrence-Emily G Wetherbee,01490080,  94.3,   9.7,  36.8,  14.9,   0.0
Lawrence-Spark Academy,01490085,  93.4,  11.3,  48.1,  22.6,   0.0
Lawrence-Rollins Early Childhood Center,01490001,  89.7,  16.9,  68.5,  44.0,   0.0
Lawrence-Lawlor Early Childhood Center,01490002,  90.3,  15.2,  61.5,  40.6,   0.0
Lawrence-John Breen School,01490003,  92.2,  12.0,  54.2,  28.0,   0.0
Lawrence-South Lawrence East Elementary School,01490004,  93.0,  11.7,  48.8,  25.7,   0.0
Lawrence-Community Day Arlington,01490009,  94.0,  10.1,  43.0,  17.4,   0.0
Lawrence-Lawrence Family Public Academy,01490011,  91.6,  13.8,  60.4,  32.6,   0.0
Lawrence-Alexander B Bruce,01490015,  93.4,  11.0,  46.9,  21.8,   0.0
Lawrence-Arlington Middle School,01490017,  94.4,   9.6,  34.3,  14.8,   0.0
Lawrence-Robert Frost,01490018,  93.0,  11.9,  51.7,  22.7,   0.0
Lawrence-James F Hennessey,01490020,  92.1,  12.7,  52.6,  28.2,   0.0
Lawrence-Gerard A. Guilmette,01490022,  93.0,  11.8,  48.7,  21.6,   0.0
Lawrence-Guilmette Middle School,01490025,  94.8,   8.8,  34.6,  11.6,   0.0
Lawrence-Parthum Middle School,01490027,  95.5,   7.7,  30.2,  10.2,   0.0
Lawrence-Francis M Leahy,01490040,  93.5,  11.1,  44.5,  21.4,   0.0
Lawrence-Oliver Partnership School,01490048,  94.0,  10.2,  41.0,  14.9,   0.0
Lawrence-UP Academy Oliver Middle School,01490049,  92.2,  13.5,  47.3,  24.2,   0.0
Lawrence-Edward F. Parthum,01490053,  93.9,  10.4,  44.3,  20.5,   0.0
Lawrence-John K Tarbox,01490075,  95.4,   7.2,  26.6,   6.1,   0.0
Lawrence Family Development Charter (District)-Lawrence Family Development Charter School,04540205,  98.1,   3.6,   5.3,   0.1,   0.9
Lee-Lee Elementary,01500025,  95.5,   7.8,  34.7,   5.9,   0.0
Lee-Lee Middle/High School,01500505,  94.7,   9.2,  30.4,  16.6,   5.2
Leicester-Leicester Memorial Elementary,01510005,  96.2,   6.6,  22.1,   4.4,  22.1
Leicester-Leicester Primary School,01510010,  95.5,   7.5,  28.1,   7.8,   0.0
Leicester-Leicester Middle,01510015,  95.8,   7.3,  30.5,   7.6,  25.7
Leicester-Leicester High,01510505,  93.7,  10.6,  39.8,  18.0,  35.4
Lenox-Morris,01520015,  95.8,   7.4,  27.5,   5.4,   0.0
Lenox-Lenox Memorial High,01520505,  95.4,   8.0,  29.1,   7.8,   3.8
Leominster-Priest Street,01530040,  95.6,   7.3,  27.2,   5.9,   7.4
Leominster-Samoset School,01530045,  94.6,   9.4,  36.9,  14.3,  25.7
Leominster-Sky View Middle School,01530320,  95.0,   8.7,  34.3,  14.2,  29.3
Leominster-Northwest,01530030,  95.1,   8.1,  34.4,  12.6,  28.5
Leominster-Johnny Appleseed,01530025,  95.7,   7.5,  27.9,   8.3,  27.6
Leominster-Frances Drake School,01530010,  95.9,   7.0,  27.0,   8.8,  21.8
Leominster-Fall Brook,01530007,  95.9,   7.1,  29.4,   7.5,  26.4
Leominster-Center For Technical Education Innovation,01530605,  93.9,  10.6,  46.9,  18.4,  39.7
Leominster-Bennett,01530003,  94.2,   6.4,  20.5,  14.8,   9.0
Leominster-Leominster High School,01530505,  92.8,  12.1,  50.6,  24.7,  41.4
Leominster-Leominster Center for Excellence,01530515,  85.2,  24.1,  65.4,  46.2,  59.6
Leominster-Lincoln School,01530005,  93.6,  10.6,  50.9,  17.5,  50.9
Leverett-Leverett Elementary,01540005,  96.2,   6.8,  26.4,   3.9,   0.8
Lexington-Wm Diamond Middle,01550310,  96.9,   5.4,  16.5,   2.9,   2.1
Lexington-Jonas Clarke Middle,01550305,  97.1,   5.1,  12.5,   2.0,   1.2
Lexington-Maria Hastings,01550035,  96.8,   5.5,  17.9,   1.6,   2.1
Lexington-Harrington,01550030,  97.0,   5.3,  13.1,   3.0,   3.2
Lexington-Lexington High,01550505,  97.1,   5.0,  12.9,   3.5,   0.7
Lexington-Joseph Estabrook,01550010,  97.1,   5.2,  12.5,   1.7,   2.2
Lexington-Bowman,01550008,  97.2,   4.8,  12.0,   1.9,   2.4
Lexington-Bridge,01550006,  96.3,   6.5,  21.5,   4.2,   2.7
Lexington-Lexington Children's Place,01550001,  95.5,   7.1,  20.7,   8.7,   6.5
Lexington-Fiske,01550015,  96.7,   5.9,  18.3,   4.2,   3.6
Libertas Academy Charter School (District)-Libertas Academy Charter School,35140305,  92.9,  11.9,  42.1,  15.8,  34.7
Lincoln-Hanscom Middle,01570305,  96.1,   6.5,  24.7,   5.6,   0.7
Lincoln-Lincoln School,01570025,  94.8,   9.1,  32.7,  10.4,   3.3
Lincoln-Hanscom Primary,01570006,  95.2,   7.9,  27.8,  10.8,   0.3
Lincoln-Sudbury-Lincoln-Sudbury Regional High,06950505,  96.8,   5.5,  14.5,   4.3,   0.0
Littleton-Littleton High School,01580505,  95.5,   7.8,  22.2,   8.5,   1.7
Littleton-Shaker Lane Elementary,01580005,  96.2,   6.8,  22.8,   6.1,   5.0
Littleton-Littleton Middle School,01580305,  96.3,   6.7,  20.3,   4.9,   0.3
Littleton-Russell St Elementary,01580015,  96.2,   6.8,  23.0,   4.6,   1.8
Longmeadow-Blueberry Hill,01590005,  96.6,   6.0,  17.0,   4.5,   0.0
Longmeadow-Center,01590010,  96.7,   5.8,  14.5,   2.2,   0.0
Longmeadow-Longmeadow High,01590505,  96.3,   6.4,  21.5,   6.4,   0.2
Longmeadow-Wolf Swamp Road,01590025,  96.6,   6.1,  19.4,   4.1,   0.0
Longmeadow-Williams Middle,01590305,  95.4,   8.2,  32.2,   9.6,   0.0
Longmeadow-Glenbrook Middle,01590017,  96.4,   6.5,  24.1,   3.8,   0.0
Lowell-Charlotte M Murkland Elementary,01600080,  94.1,   9.7,  36.2,  18.0,  28.6
Lowell-Laura Lee Therapeutic Day School,01600085,  82.1,  29.8,  85.0,  70.0,  75.0
Lowell-Bartlett Community Partnership,01600090,  93.7,  10.4,  43.5,  17.9,  32.6
Lowell-B.F. Butler Middle School,01600310,  95.1,   8.4,  34.1,  12.4,  24.9
Lowell-James S Daley Middle School,01600315,  96.5,   6.1,  21.5,   4.7,  12.4
Lowell-Leblanc Therapeutic Day School,01600320,  65.8,  55.1,  92.3,  89.7,  89.7
Lowell-Henry J Robinson Middle,01600330,  93.3,  11.4,  47.3,  21.6,  36.1
Lowell-Dr Gertrude Bailey,01600002,  95.7,   7.4,  29.7,   7.4,  10.0
Lowell-Dr An Wang School,01600345,  95.2,   8.4,  32.5,   9.9,  17.3
Lowell-Kathryn P. Stoklosa Middle School,01600360,  95.2,   8.3,  32.0,  12.2,  14.2
Lowell-Lowell High,01600505,  92.2,  12.8,  41.2,  22.8,  30.9
Lowell-The Career Academy,01600515,  73.1,  37.9,  74.2,  70.0,  74.2
Lowell-Lowell Day School on Broadway,01600605,  93.1,  11.9,  48.1,  25.9,   3.7
Lowell-James Sullivan Middle School,01600340,  93.9,  10.3,  41.9,  17.5,  29.6
Lowell-Rogers STEM Academy,01600005,  94.8,   8.8,  36.8,  12.6,  27.6
Lowell-Joseph McAvinnue,01600010,  94.2,   9.7,  44.6,  17.0,  28.6
Lowell-Greenhalge,01600015,  93.5,  10.7,  47.0,  21.8,  36.2
Lowell-Pyne Arts,01600018,  95.0,   8.5,  36.6,  10.7,  25.1
Lowell-Abraham Lincoln,01600020,  94.8,   8.7,  35.6,  12.7,  21.0
Lowell-Moody Elementary,01600027,  93.2,  10.9,  47.6,  23.6,  37.1
Lowell-Charles W Morey,01600030,  95.8,   7.3,  27.8,   8.3,  19.9
Lowell-Pawtucketville Memorial,01600036,  95.6,   7.4,  27.1,   8.0,  15.7
Lowell-Peter W Reilly,01600040,  95.1,   8.3,  35.4,  10.8,  22.0
Lowell-John J Shaughnessy,01600050,  95.3,   7.9,  34.1,   9.3,  25.2
Lowell-Washington,01600055,  95.2,   7.9,  32.7,  10.5,  15.4
Lowell-S Christa McAuliffe Elementary,01600075,  94.4,   9.4,  41.5,  14.7,  28.8
Lowell Community Charter Public (District)-Lowell Community Charter Public School,04560050,  96.5,   6.5,  21.5,   5.5,   7.8
Lowell Middlesex Academy Charter (District)-Lowell Middlesex Academy Charter School,04580505,  45.1,  67.6,  97.1,  93.6,   0.0
Ludlow-Ludlow Senior High,01610505,  93.9,  10.5,  41.7,  12.5,  32.0
Ludlow-Paul R Baird Middle,01610305,  95.2,   8.6,  34.0,  10.1,  23.1
Ludlow-Veterans Park Elementary,01610023,  95.7,   7.6,  30.0,   6.5,  17.8
Ludlow-Chapin Street Elementary School,01610020,  95.7,   7.6,  25.4,   8.8,  12.7
Ludlow-East Street Elementary School,01610010,  94.2,   9.8,  40.6,  14.2,  24.2
Lunenburg-Turkey Hill Elementary School,01620025,  96.3,   6.5,  23.2,   4.2,   1.8
Lunenburg-Lunenburg High,01620505,  95.8,   7.4,  29.6,   7.0,   1.3
Lunenburg-Lunenburg Middle School,01620305,  95.9,   7.3,  27.9,   6.5,   1.4
Lunenburg-Lunenburg Primary School,01620010,  94.7,   8.8,  28.5,  11.8,   2.2
Lynn-Thurgood Marshall Mid,01630305,  95.0,   8.5,  32.3,  13.5,   0.0
Lynn-Sewell-Anderson,01630085,  95.4,   7.9,  31.6,  10.1,   0.0
Lynn-Pickering Middle,01630420,  95.3,   8.2,  31.3,  10.9,   0.0
Lynn-William R Fallon,01630080,  89.4,  18.4,  63.8,  42.6,   0.0
Lynn-Lynn Woods,01630075,  96.1,   6.9,  22.6,   6.0,   0.0
Lynn-Lincoln-Thomson,01630070,  95.7,   7.2,  27.9,   9.3,   0.0
Lynn-Ingalls,01630060,  95.0,   8.5,  34.2,  13.8,   0.0
Lynn-Hood,01630055,  95.5,   7.7,  29.9,  11.1,   0.0
Lynn-Cobbet Elementary,01630035,  95.7,   7.4,  28.8,  11.4,   0.0
Lynn-Robert L Ford,01630050,  95.4,   7.8,  31.4,  10.0,   0.0
Lynn-Wm P Connery,01630040,  95.5,   7.6,  31.0,   9.4,   0.0
Lynn-E J Harrington,01630045,  93.8,  10.2,  41.0,  21.0,   0.0
Lynn-Early Childhood Center,01630004,  92.1,  11.1,  45.3,  26.8,   0.0
Lynn-Lynn English High,01630510,  90.0,  16.5,  58.1,  36.9,   0.0
Lynn-Fecteau-Leary Junior/Senior High School,01630525,  75.5,  35.3,  89.0,  81.7,   0.0
Lynn-Lynn Vocational Technical Institute,01630605,  92.9,  12.3,  51.4,  24.6,   0.0
Lynn-Breed Middle School,01630405,  96.0,   6.9,  24.9,   9.2,   0.0
Lynn-Capt William G Shoemaker,01630090,  94.4,   9.6,  37.0,  12.8,   0.0
Lynn-Edward A Sisson,01630095,  95.0,   8.7,  37.1,  10.6,   0.0
Lynn-Tracy,01630100,  95.9,   7.1,  26.4,   8.3,   0.0
Lynn-Julia F Callahan,01630030,  94.7,   8.5,  35.0,  14.5,   0.0
Lynn-Washington Elementary School,01630005,  93.7,  10.7,  42.7,  19.6,   0.0
Lynn-Classical High,01630505,  90.8,  15.6,  57.3,  37.7,   0.0
Lynn-Aborn,01630011,  96.3,   6.5,  20.6,   3.9,   0.0
Lynn-A Drewicz Elementary,01630016,  96.1,   6.7,  28.4,   8.1,   0.0
Lynn-Brickett Elementary,01630020,  94.6,   9.0,  34.4,  17.2,   0.0
Lynnfield-Lynnfield High,01640505,  96.9,   5.5,  16.1,   2.6,  16.1
