2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Barnstable-Barnstable Intermediate School,00200315,  94.4,   9.8,  42.4,  15.0,  37.4
Barnstable-Barnstable High,00200505,  94.2,   9.9,  38.7,  15.3,  24.4
Barnstable Community Horace Mann Charter Public (District)-Barnstable Community Horace Mann Charter Public School,04270010,  94.5,   9.8,  41.7,  12.1,  35.5
Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,  93.7,  11.1,  45.9,  16.2,   9.8
Bedford-John Glenn Middle,00230305,  96.7,   6.0,  17.0,   3.9,   0.3
Bedford-Bedford High,00230505,  95.2,   8.2,  24.4,  10.8,   5.6
Bedford-Lt Elezer Davis,00230010,  96.1,   6.8,  23.6,   5.5,   0.0
Bedford-Lt Job Lane School,00230012,  96.8,   5.7,  18.4,   2.6,   0.0
Belchertown-Swift River Elementary,00240018,  96.1,   6.8,  22.9,   4.2,  11.4
Belchertown-Cold Spring,00240005,  93.7,  10.5,  31.7,  11.2,  25.4
Belchertown-Chestnut Hill Community School,00240006,  95.5,   8.0,  29.0,   8.0,  18.1
Belchertown-Jabish Middle School,00240025,  95.0,   8.8,  33.3,   9.5,  19.5
Belchertown-Belchertown High,00240505,  93.8,  10.6,  39.4,  15.9,  25.9
Bellingham-Keough Memorial Academy,00250510,  78.4,  33.1,  80.5,  75.6,  68.3
Bellingham-Stall Brook,00250025,  95.8,   7.4,  28.5,   8.0,  24.1
Bellingham-Bellingham High School,00250505,  93.9,  10.6,  38.5,  16.1,  22.3
Bellingham-South Elementary,00250020,  95.9,   7.0,  26.2,   6.8,  22.5
Bellingham-Bellingham Early Childhood Center,00250003,  96.3,   6.4,  20.7,   6.0,  20.7
Bellingham-Bellingham Memorial School,00250315,  95.6,   7.7,  29.4,   8.7,  22.5
Belmont-Mary Lee Burbank,00260010,  96.2,   6.6,  24.2,   5.7,   0.8
Belmont-Winn Brook,00260005,  97.2,   5.0,  14.3,   1.6,   1.8
Belmont-Daniel Butler,00260015,  96.6,   6.0,  18.0,   5.5,   6.0
Belmont-Roger E Wellington,00260035,  97.0,   5.3,  15.1,   3.2,   3.2
Belmont-Winthrop L Chenery Middle,00260305,  97.0,   5.4,  16.4,   3.6,   0.6
Belmont-Belmont High,00260505,  96.9,   5.3,  15.5,   4.9,   9.5
Benjamin Banneker Charter Public (District)-Benjamin Banneker Charter Public School,04200205,  94.8,   9.5,  36.5,  13.4,   0.8
Benjamin Franklin Classical Charter Public (District)-Benjamin Franklin Classical Charter Public School,04470205,  96.0,   7.0,  24.7,   7.5,  24.7
Bentley Academy Charter School (District)-Bentley Academy Charter School,35110205,  95.3,   8.3,  32.1,   9.7,  19.4
Berkley-Berkley Community School,00270010,  96.1,   7.0,  26.6,   4.7,  16.7
Berkley-Berkley Middle School,00270305,  95.7,   7.4,  26.4,   6.8,  26.4
Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,  94.2,  10.0,  37.7,  17.8,  24.0
Berkshire Hills-Monument Mt Regional High,06180505,  88.4,  20.1,  65.7,  41.0,  18.7
Berkshire Hills-Monument Valley Regional Middle School,06180310,  93.9,  10.8,  41.1,  17.4,   2.4
Berkshire Hills-Muddy Brook Regional Elementary School,06180035,  94.5,   9.6,  40.6,  10.6,   0.0
Berlin-Berlin Memorial,00280005,  96.3,   6.4,  20.9,   2.6,   2.1
Berlin-Boylston-Tahanto Regional High,06200505,  95.4,   8.2,  27.1,   6.9,   0.0
Beverly-Briscoe Middle,00300305,  95.0,   8.8,  30.7,  13.3,  27.1
Beverly-Beverly High,00300505,  93.6,  11.2,  32.4,  16.5,  20.2
Beverly-McKeown School,00300002,  93.2,  10.7,  42.5,  23.3,  42.5
Beverly-Centerville Elementary,00300010,  95.6,   7.8,  28.5,  10.0,  10.3
Beverly-Cove Elementary,00300015,  95.0,   8.8,  32.9,  12.1,  12.5
Beverly-Hannah Elementary,00300033,  96.2,   6.7,  24.4,   4.4,   7.2
Beverly-Ayers/Ryal Side School,00300055,  96.2,   6.7,  24.5,   6.3,   6.7
Beverly-North Beverly Elementary,00300040,  96.0,   7.0,  23.7,   6.1,   7.3
Billerica-Thomas Ditson,00310005,  96.7,   5.8,  16.2,   3.8,  11.5
Billerica-Frederick J Dutile,00310007,  97.3,   4.9,  12.2,   2.5,   9.4
Billerica-John F Kennedy,00310012,  96.4,   6.2,  21.9,   4.3,  17.9
Billerica-Parker,00310015,  96.4,   6.2,  21.0,   6.2,  12.3
Billerica-Billerica Memorial High School,00310505,  94.2,   9.9,  32.0,  15.5,  22.9
Billerica-Eugene C Vining,00310030,  96.1,   7.0,  24.6,   3.1,  12.3
Billerica-Marshall Middle School,00310305,  95.8,   7.2,  22.6,   6.0,  10.8
Billerica-Locke Middle,00310310,  96.5,   6.2,  21.8,   4.5,  13.6
Billerica-Hajjar Elementary,00310026,  96.3,   6.4,  20.9,   7.6,  12.4
Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,  96.2,   7.1,  24.3,   4.5,   7.0
Blackstone-Millville-Millville Elementary,06220010,  95.3,   8.3,  31.8,   8.9,   0.7
Blackstone-Millville-A F Maloney,06220015,  95.1,   8.7,  33.2,   8.6,   2.0
Blackstone-Millville-Blackstone Millville RHS,06220505,  94.6,   9.3,  32.5,  12.4,  16.3
Blackstone-Millville-John F Kennedy Elementary,06220008,  94.9,   8.9,  36.4,   8.2,   2.0
Blackstone-Millville-Frederick W. Hartnett Middle School,06220405,  95.6,   7.9,  26.9,   8.4,  20.4
Blue Hills Regional Vocational Technical-Blue Hills Regional Vocational Technical,08060605,  94.7,   9.3,  45.4,   5.7,  45.4
Boston-East Boston Early Childhood Center,00350009,  92.4,  13.2,  57.4,  25.6,  27.2
Boston-George H Conley,00350122,  93.8,  10.8,  40.9,  19.6,  33.3
Boston-Henry Grew,00350135,  92.9,  11.8,  49.2,  26.3,  32.1
Boston-O W Holmes,00350138,  93.2,  11.3,  42.2,  25.1,  34.8
Boston-Hugh Roe O'Donnell,00350141,  94.7,   8.9,  37.7,  13.6,   5.3
Boston-James Condon Elementary,00350146,  92.6,  12.6,  45.7,  24.8,  31.7
Boston-James W Hennigan,00350153,  93.0,  11.8,  47.7,  23.7,  31.7
Boston-Snowden International School at Copley,00350690,  89.5,  18.0,  59.4,  38.4,  39.1
Boston-Rafael Hernandez,00350691,  95.0,   9.0,  37.4,   8.8,  22.3
Boston-Horace Mann School for the Deaf,00350750,  91.6,  14.2,  60.4,  28.6,  25.3
Boston-Boston Collaborative High School,00350755,  84.7,  24.7,  40.1,  35.6,  40.1
Boston-Quincy Upper School,00350565,  91.9,  14.3,  36.3,  22.0,  29.7
Boston-O'Bryant School Math/Science,00350575,  94.3,  10.2,  35.0,  14.4,  18.8
Boston-Urban Science Academy,00350579,  87.3,  20.3,  60.3,  42.0,  52.0
Boston-Community Academy of Science and Health,00350581,  87.5,  20.8,  53.0,  38.2,  48.8
Boston-Dorchester Academy,00350651,  59.0,  56.3,  62.9,  62.9,  37.1
Boston-Boston Teachers Union School,00350012,  95.2,   8.5,  33.3,  12.7,  22.0
Boston-Jackson Mann,00350013,  92.5,  12.8,  46.5,  24.0,  31.4
Boston-Pauline Agassiz Shaw Elementary School,00350014,  91.7,  14.0,  55.6,  30.7,  49.4
Boston-Higginson,00350015,  92.0,  13.4,  58.9,  29.4,  39.4
Boston-Mattapan Early Elementary School,00350016,  89.6,  17.2,  61.6,  37.2,  54.5
Boston-Curley K-8 School,00350020,  93.2,  11.9,  51.1,  23.0,  37.2
Boston-Beethoven,00350021,  94.0,  10.5,  42.2,  14.5,  19.7
Boston-Carter Developmental Center,00350036,  83.1,  29.4,  73.3,  63.3,  10.0
Boston-Charles Sumner,00350052,  92.7,  12.5,  53.1,  27.2,  46.0
Boston-Charles H Taylor,00350054,  94.7,   8.8,  32.0,  15.8,  23.5
Boston-Curtis Guild,00350062,  95.0,   8.6,  31.7,  14.0,  22.3
Boston-Dante Alighieri Montessori School,00350066,  95.4,   8.2,  30.4,   5.4,   7.6
Boston-Lee Academy,00350001,  93.3,  11.6,  47.8,  24.6,  33.2
Boston-Baldwin Early Learning Center,00350003,  94.0,  10.2,  42.6,  15.9,   6.8
Boston-Lyon K-8,00350004,  94.1,  10.4,  44.3,  12.2,   6.9
Boston-ELC - West Zone,00350006,  92.5,  12.9,  58.5,  22.0,  41.5
