2018 MCAS Achievement Results,,,,,,,,,,,,,,,,
School Name,School Code,Subject,P+A #,P+A %,A #,A %,P #,P %,NI #,NI %,W/F #,W/F %,No. of Students Included,CPI,Ave. SGP,Included In Ave. SGP
Barnstable - Barnstable High,00200505,ENGLISH LANGUAGE ARTS,303,92,175,53,128,39,17,5,11,3,331,  95.9,  59.8,284
Barnstable - Barnstable High,00200505,MATHEMATICS,250,75,159,48,91,27,47,14,36,11,333,  87.5,  50.4,288
Barnstable - Barnstable High,00200505,SCIENCE AND TECH/ENG,230,74,70,23,160,51,64,21,17,5,311,  88.7,N/A,N/A
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ENGLISH LANGUAGE ARTS,60,86,23,33,37,53,7,10,3,4,70,  94.6,  42.2,61
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATHEMATICS,47,67,19,27,28,40,12,17,11,16,70,  82.9,  61.2,61
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,SCIENCE AND TECH/ENG,42,68,12,19,30,48,17,27,3,5,62,  85.1,N/A,N/A
Bedford - Bedford High,00230505,ENGLISH LANGUAGE ARTS,194,97,143,71,51,25,7,3,0,0,201,  98.9,  55.3,175
Bedford - Bedford High,00230505,MATHEMATICS,180,90,142,71,38,19,16,8,3,2,199,  95.5,  46.6,174
Bedford - Bedford High,00230505,SCIENCE AND TECH/ENG,173,93,105,56,68,36,12,6,2,1,187,  96.8,N/A,N/A
Belchertown - Belchertown High,00240505,ENGLISH LANGUAGE ARTS,157,92,104,61,53,31,11,6,2,1,170,  97.8,  50.4,161
Belchertown - Belchertown High,00240505,MATHEMATICS,152,91,101,60,51,31,10,6,5,3,167,  96.4,  52.4,159
Belchertown - Belchertown High,00240505,SCIENCE AND TECH/ENG,137,87,53,34,84,53,14,9,7,4,158,  94.0,N/A,N/A
Bellingham - Bellingham High School,00250505,ENGLISH LANGUAGE ARTS,139,97,72,50,67,47,4,3,1,1,144,  99.1,  53.9,132
Bellingham - Bellingham High School,00250505,MATHEMATICS,124,88,69,49,55,39,13,9,4,3,141,  94.9,  43.8,129
Bellingham - Bellingham High School,00250505,SCIENCE AND TECH/ENG,116,85,40,29,76,56,19,14,1,1,136,  95.8,N/A,N/A
Belmont - Belmont High,00260505,ENGLISH LANGUAGE ARTS,324,100,244,75,80,25,1,0,0,0,325,  99.9,  44.7,277
Belmont - Belmont High,00260505,MATHEMATICS,308,95,263,81,45,14,15,5,0,0,323,  98.1,  47.5,277
Belmont - Belmont High,00260505,SCIENCE AND TECH/ENG,290,97,184,61,106,35,10,3,0,0,300,  98.7,N/A,N/A
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,ENGLISH LANGUAGE ARTS,32,100,20,63,12,38,0,0,0,0,32, 100.0,  49.5,31
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,MATHEMATICS,30,94,23,72,7,22,2,6,0,0,32,  97.7,  36.6,31
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,SCIENCE AND TECH/ENG,27,96,11,39,16,57,1,4,0,0,28,  99.1,N/A,N/A
Berkshire Hills - Monument Mt Regional High,06180505,ENGLISH LANGUAGE ARTS,115,99,56,48,59,51,1,1,0,0,116,  99.6,  41.8,98
Berkshire Hills - Monument Mt Regional High,06180505,MATHEMATICS,98,84,51,44,47,41,12,10,6,5,116,  92.7,  47.7,98
Berkshire Hills - Monument Mt Regional High,06180505,SCIENCE AND TECH/ENG,92,81,40,35,52,46,19,17,2,2,113,  92.3,N/A,N/A
Berlin-Boylston - Tahanto Regional High,06200505,ENGLISH LANGUAGE ARTS,72,100,52,72,20,28,0,0,0,0,72, 100.0,  66.8,63
Berlin-Boylston - Tahanto Regional High,06200505,MATHEMATICS,71,96,50,68,21,28,3,4,0,0,74,  98.3,  64.6,64
Berlin-Boylston - Tahanto Regional High,06200505,SCIENCE AND TECH/ENG,68,97,37,53,31,44,2,3,0,0,70,  99.3,N/A,N/A
Beverly - Beverly High,00300505,ENGLISH LANGUAGE ARTS,265,92,166,58,99,34,14,5,8,3,287,  97.1,  50.2,245
Beverly - Beverly High,00300505,MATHEMATICS,238,83,175,61,63,22,30,10,18,6,286,  91.1,  48.9,246
