2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Auburn - Bryn Mawr,00170010,      17.8, 100.0,  16.8 to 1,  77.0,  93.9
Auburn - Pakachoag School,00170025,      17.9, 100.0,  16.8 to 1,  83.3, 100.0
Auburn - Swanson Road Intermediate School,00170030,      36.3, 100.0,  15.9 to 1,  91.9,  97.4
Avon - Avon Middle High School,00180510,      35.1, 100.0,   8.9 to 1,  75.2,  82.9
Avon - Ralph D Butler,00180010,      32.3, 100.0,  12.8 to 1,  83.6, 100.0
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,      36.3,  99.6,  11.3 to 1,  77.2,  77.6
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,      31.5, 100.0,  11.7 to 1,  90.5,  87.3
Ayer Shirley School District - Lura A. White Elementary School,06160001,      29.8,  97.3,  13.4 to 1,  78.8,  93.9
Ayer Shirley School District - Page Hilltop Elementary School,06160002,      39.0, 100.0,  13.5 to 1,  76.9,  92.3
Barnstable - Barnstable High,00200505,     144.9,  99.3,  12.8 to 1,  90.0,  92.4
Barnstable - Barnstable Intermediate School,00200315,      58.4, 100.0,  12.6 to 1,  82.0,  91.4
Barnstable - Barnstable United Elementary School,00200050,      59.6, 100.0,  14.4 to 1,  75.5,  95.6
Barnstable - Centerville Elementary,00200010,      21.3, 100.0,  12.2 to 1,  86.9,  96.2
Barnstable - Enoch Cobb Early Learning Center,00200001,       6.0, 100.0,  22.5 to 1,  50.0,  83.3
Barnstable - Hyannis West Elementary,00200025,      31.6, 100.0,  10.6 to 1,  78.5,  88.0
Barnstable - West Barnstable Elementary,00200005,      16.4, 100.0,  15.8 to 1,  80.5,  92.7
Barnstable - West Villages Elementary School,00200045,      29.0,  96.6,  14.9 to 1,  86.2, 100.0
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,04270010,      24.0, 100.0,  12.8 to 1,  79.2, 100.0
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,      51.2,  64.5,   8.7 to 1,  25.4,  76.6
Bedford - Bedford High,00230505,      82.4,  97.5,  10.4 to 1,  86.4,  94.3
Bedford - John Glenn Middle,00230305,      56.0, 100.0,  10.4 to 1,  87.5,  89.3
Bedford - Lt Elezer Davis,00230010,      44.0, 100.0,  13.6 to 1,  93.2, 100.0
Bedford - Lt Job Lane School,00230012,      47.4, 100.0,  12.8 to 1,  74.7,  91.6
Belchertown - Belchertown High,00240505,      47.0, 100.0,  15.1 to 1,  95.4,  97.9
Belchertown - Chestnut Hill Community School,00240006,      37.2, 100.0,  14.9 to 1, 100.0, 100.0
Belchertown - Cold Spring,00240005,      12.6, 100.0,  15.3 to 1,  84.1, 100.0
Belchertown - Jabish Middle School,00240025,      31.5, 100.0,  12.6 to 1,  87.1,  93.6
Belchertown - Swift River Elementary,00240018,      35.2, 100.0,  13.3 to 1,  97.2, 100.0
Bellingham - Bellingham Early Childhood Center,00250003,       5.5, 100.0,  20.0 to 1, 100.0, 100.0
Bellingham - Bellingham High School,00250505,      55.4, 100.0,  13.8 to 1,  90.9,  92.8
Bellingham - Bellingham Memorial School,00250315,      51.8, 100.0,  13.9 to 1,  76.4,  90.6
Bellingham - Keough Memorial Academy,00250510,       7.8,  87.2,   4.3 to 1,  63.5,  87.2
Bellingham - South Elementary,00250020,      24.8, 100.0,  13.5 to 1,  84.1, 100.0
Bellingham - Stall Brook,00250025,      25.9, 100.0,  12.4 to 1,  84.6,  96.1
Belmont - Belmont High,00260505,      70.0, 100.0,  18.5 to 1,  82.2,  93.7
Belmont - Daniel Butler,00260015,      24.6, 100.0,  15.8 to 1,  91.9,  95.9
Belmont - Mary Lee Burbank,00260010,      21.9, 100.0,  17.1 to 1,  81.7, 100.0
Belmont - Roger E Wellington,00260035,      39.2, 100.0,  15.9 to 1,  81.9,  94.9
Belmont - Winn Brook,00260005,      28.9, 100.0,  17.0 to 1,  76.4,  93.1
Belmont - Winthrop L Chenery Middle,00260305,      88.6, 100.0,  16.0 to 1,  84.3,  95.5
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,      18.0,  94.4,  19.7 to 1,  77.8,  95.1
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,      33.0,  81.8,  13.4 to 1,  81.8,  87.9
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,      24.4,  95.5,  12.1 to 1,  29.9,  71.3
Berkley - Berkley Community School,00270010,      33.8, 100.0,  15.7 to 1,  91.1, 100.0
Berkley - Berkley Middle School,00270305,      24.0, 100.0,  16.3 to 1,  95.8,  87.5
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,      34.0,  63.7,  10.4 to 1,  49.7,  87.5
Berkshire Hills - Monument Mt Regional High,06180505,      42.8, 100.0,  12.2 to 1,  89.5,  94.2
Berkshire Hills - Monument Valley Regional Middle School,06180310,      32.3, 100.0,  11.6 to 1,  84.7,  90.7
