2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Fairhaven - East Fairhaven,00940010,      27.5, 100.0,  15.2 to 1,  83.6, 100.0
Fairhaven - Fairhaven High,00940505,      49.0,  97.5,  13.4 to 1,  88.2,  93.9
Fairhaven - Hastings Middle,00940305,      34.5,  99.3,  13.6 to 1,  81.9,  94.2
Fairhaven - Leroy Wood,00940030,      31.0, 100.0,  16.5 to 1,  91.9, 100.0
Fall River - B M C Durfee High,00950505,     182.0,  92.4,  11.6 to 1,  69.5,  72.9
Fall River - Carlton M. Viveiros Elementary School,00950009,      54.0,  90.8,  13.7 to 1,  59.3,  75.9
Fall River - Fall River Gateway to College @ BCC,00950515,        .0,   0.0,N/A,,
Fall River - Henry Lord Community School,00950017,      55.2,  87.3,  11.8 to 1,  48.9,  72.8
Fall River - James Tansey,00950140,      18.4,  89.1,  17.1 to 1,  80.6,  94.6
Fall River - John J Doran,00950045,      41.0,  85.4,  12.8 to 1,  65.9,  65.9
Fall River - Letourneau Elementary School,00950013,      39.8,  95.0,  15.5 to 1,  54.8,  73.1
Fall River - Mary Fonseca Elementary School,00950011,      51.8,  88.4,  13.7 to 1,  34.4,  78.8
Fall River - Matthew J Kuss Middle,00950320,      56.1,  96.4,  13.4 to 1,  78.6,  75.0
Fall River - Morton Middle,00950315,      57.4,  93.0,  10.2 to 1,  65.1,  65.1
Fall River - North End Elementary,00950005,      48.4,  93.8,  15.9 to 1,  73.2,  93.8
Fall River - Resiliency Preparatory Academy,00950525,      19.2,  83.7,   9.5 to 1,  58.4,  73.9
Fall River - Samuel Watson,00950145,      18.3, 100.0,  15.9 to 1,  80.8,  78.2
Fall River - Spencer Borden,00950130,      39.7,  98.2,  14.7 to 1,  78.1,  89.9
Fall River - Stone PK-12 School,00950340,      11.7,  79.4,   3.3 to 1,  65.7,  76.0
Fall River - Talbot Innovation School,00950305,      49.9,  98.0,  10.1 to 1,  74.1,  70.5
Fall River - William S Greene,00950065,      56.2,  92.9,  13.3 to 1,  73.3,  87.6
Falmouth - East Falmouth Elementary,00960005,      29.2, 100.0,   9.0 to 1,  80.2, 100.0
Falmouth - Falmouth High,00960505,      67.6,  97.9,  12.5 to 1,  83.7,  85.2
Falmouth - Lawrence,00960405,      51.6, 100.0,  11.6 to 1,  92.0,  92.2
Falmouth - Morse Pond School,00960305,      45.7,  97.8,  12.1 to 1,  78.6,  93.4
Falmouth - Mullen-Hall,00960020,      38.8, 100.0,  11.2 to 1,  85.1,  93.3
Falmouth - North Falmouth Elementary,00960030,      27.8, 100.0,  11.5 to 1,  89.9,  96.4
Falmouth - Teaticket,00960015,      30.9, 100.0,  11.8 to 1,  78.0,  97.4
Farmington River Reg - Farmington River Elementary,06620020,      13.5, 100.0,   8.9 to 1,  79.8,  95.6
Fitchburg - Arthur M Longsjo Middle School,00970315,      46.6,  97.9,  12.7 to 1,  76.4,  85.0
Fitchburg - Crocker Elementary,00970016,      39.0, 100.0,  17.1 to 1,  94.9,  97.4
Fitchburg - Fitchburg High,00970505,      89.1,  98.9,  13.5 to 1,  93.2,  91.0
Fitchburg - Goodrich Academy,00970510,       9.1, 100.0,  18.6 to 1,  89.0, 100.0
Fitchburg - McKay Arts Academy,00970340,      45.0, 100.0,  15.1 to 1,  80.0,  91.1
Fitchburg - Memorial Intermediate,00970048,      49.8, 100.0,  14.2 to 1,  81.9,  94.0
Fitchburg - Reingold Elementary,00970043,      42.0, 100.0,  15.9 to 1,  73.8,  92.9
Fitchburg - South Street Elementary,00970060,      46.0, 100.0,  14.5 to 1,  80.4, 100.0
Florida - Abbott Memorial,00980005,      11.8,  91.5,   6.8 to 1, 100.0,  96.6
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,      20.7,  57.9,  10.7 to 1,  78.7,  92.2
Foxborough - Charles Taylor Elementary,00990050,      19.3, 100.0,  12.3 to 1,  91.1, 100.0
Foxborough - Foxborough High,00990505,      64.1, 100.0,  12.6 to 1,  89.9,  93.8
Foxborough - John J Ahern,00990405,      66.1, 100.0,  12.7 to 1,  89.4,  98.5
Foxborough - Mabelle M Burrell,00990015,      21.4, 100.0,  14.8 to 1,  95.3, 100.0
Foxborough - Vincent M Igo Elementary,00990020,      31.8, 100.0,  12.4 to 1,  86.5, 100.0
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,     111.7,  78.4,  13.2 to 1,  62.4,  89.3
Framingham - Barbieri Elementary,01000035,      52.6,  96.2,  12.9 to 1,  65.8,  86.7
Framingham - Brophy,01000006,      41.3, 100.0,  11.5 to 1,  75.6,  96.4
Framingham - Cameron Middle School,01000302,      51.1, 100.0,  10.5 to 1,  87.0,  91.2
Framingham - Charlotte A Dunning,01000007,      36.1, 100.0,  13.1 to 1,  89.5, 100.0
Framingham - Framingham High School,01000515,     133.2,  97.7,  16.3 to 1,  70.9,  89.6
Framingham - Fuller Middle,01000305,      39.7, 100.0,  12.6 to 1,  73.6,  89.9
Framingham - Hemenway,01000015,      42.2, 100.0,  13.5 to 1,  66.6,  95.0
Framingham - Juniper Hill School,01000001,      17.5, 100.0,  15.6 to 1,  88.6, 100.0
Framingham - King Elementary School,01000005,      20.9, 100.0,  13.5 to 1,  51.2,  83.7
Framingham - Mary E Stapleton Elementary,01000045,      35.3, 100.0,  10.5 to 1,  74.8,  95.7
Framingham - Miriam F McCarthy School,01000050,      50.5, 100.0,  11.2 to 1,  89.1, 100.0
Framingham - Potter Road,01000039,      35.2, 100.0,  14.6 to 1,  90.0,  97.2
Framingham - Walsh Middle,01000310,      60.1,  97.0,  12.7 to 1,  80.4,  87.5
Framingham - Woodrow Wilson,01000055,      46.3,  97.8,  12.2 to 1,  67.4,  92.4
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,      46.3,  60.2,   8.6 to 1,  61.1,  95.7
Franklin - Annie Sullivan Middle School,01010040,      39.8, 100.0,  11.2 to 1,  86.6,  95.0
Franklin - Davis Thayer,01010035,      20.1, 100.0,  11.5 to 1,  86.5, 100.0
Franklin - Franklin Early Childhood Development Center,01010003,       8.0, 100.0,  13.0 to 1,  75.0, 100.0
Franklin - Franklin High,01010505,     124.8,  98.6,  14.3 to 1,  78.3,  88.6
Franklin - Helen Keller Elementary,01010012,      28.7, 100.0,  14.0 to 1,  89.5, 100.0
Franklin - Horace Mann,01010405,      42.1,  98.8,  11.0 to 1,  76.6,  92.9
Franklin - J F Kennedy Memorial,01010013,      23.5, 100.0,  15.6 to 1,  98.9, 100.0
Franklin - Jefferson Elementary,01010010,      24.4, 100.0,  13.8 to 1,  91.3,  95.9
Franklin - Oak Street Elementary,01010030,      25.3, 100.0,  15.4 to 1,  80.7, 100.0
Franklin - Parmenter,01010032,      23.6, 100.0,  13.7 to 1,  87.3, 100.0
Franklin - Remington Middle,01010310,      41.1, 100.0,  10.7 to 1,  84.1,  92.2
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,      50.0,  95.1,   9.7 to 1,  88.6,  82.8
Freetown-Lakeville - Apponequet Regional High,06650505,      60.8, 100.0,  12.8 to 1,  78.5,  86.8
Freetown-Lakeville - Assawompset Elementary School,06650002,      27.1, 100.0,  16.0 to 1,  85.0,  96.3
Freetown-Lakeville - Freetown Elementary School,06650001,      28.0, 100.0,  14.7 to 1,  85.7, 100.0
Freetown-Lakeville - Freetown-Lakeville Middle School,06650305,      47.1, 100.0,  16.0 to 1,  93.5,  89.4
Freetown-Lakeville - George R Austin Intermediate School,06650015,      29.1, 100.0,  15.1 to 1,  96.4, 100.0
Frontier - Frontier Regional,06700505,      51.5,  99.6,  12.1 to 1,  86.0,  94.2
Gardner - Elm Street School,01030001,      37.5, 100.0,  14.7 to 1,  86.7,  94.7
Gardner - Gardner Academy for Learning and Technology,01030515,       6.9, 100.0,  10.7 to 1,  67.2,  70.8
Gardner - Gardner High,01030505,      57.6, 100.0,  12.0 to 1,  82.7,  81.3
Gardner - Gardner Middle School,01030405,      41.7, 100.0,  13.0 to 1,  78.4,  92.8
Gardner - Waterford Street,01030020,      28.9, 100.0,  16.2 to 1,  82.7,  96.5
Gateway - Chester Elementary,06720059,      11.0,  90.9,  10.8 to 1,  81.8, 100.0
Gateway - Gateway Regional High,06720505,      23.8,  97.9,   9.0 to 1,  76.9,  91.6
Gateway - Gateway Regional Middle School,06720405,      18.5,  97.3,  10.7 to 1,  92.1, 100.0
Gateway - Littleville Elementary School,06720143,      24.0, 100.0,  12.5 to 1,  95.8, 100.0
Georgetown - Georgetown High School,01050505,      40.8, 100.0,   9.8 to 1,  88.6,  89.9
Georgetown - Georgetown Middle School,01050305,      12.1, 100.0,  19.0 to 1,  90.9,  99.5
Georgetown - Penn Brook,01050010,      38.7,  99.9,  17.9 to 1,  88.1, 100.0
Georgetown - Perley Elementary,01050005,       4.0, 100.0,  30.3 to 1, 100.0, 100.0
Gill-Montague - Gill Elementary,06740005,       9.3, 100.0,  14.4 to 1,  65.6, 100.0
Gill-Montague - Great Falls Middle,06740310,      21.6,  95.4,  11.3 to 1,  85.2,  94.5
Gill-Montague - Hillcrest Elementary School,06740015,      14.6, 100.0,  11.1 to 1,  91.1, 100.0
Gill-Montague - Sheffield Elementary School,06740050,      22.2, 100.0,   9.7 to 1,  88.8, 100.0
Gill-Montague - Turners Fall High,06740505,      24.5,  95.9,   8.9 to 1,  92.7,  92.7
Global Learning Charter Public (District) - Global Learning Charter Public School,04960305,      42.9,  93.0,  11.9 to 1,  49.7,  65.5
Gloucester - Beeman Memorial,01070010,      28.6, 100.0,  11.9 to 1,  87.4,  96.5
Gloucester - East Gloucester Elementary,01070020,      18.7, 100.0,  11.5 to 1,  92.0, 100.0
Gloucester - Gloucester High,01070505,      81.2,  96.3,   9.8 to 1,  90.1,  85.2
Gloucester - Gloucester PreSchool,01070025,       7.0, 100.0,  15.3 to 1,  85.7, 100.0
Gloucester - Plum Cove School,01070042,      15.6, 100.0,  13.6 to 1,  74.4,  96.2
Gloucester - Ralph B O'Maley Middle,01070305,      53.0, 100.0,  12.6 to 1,  79.2,  92.5
Gloucester - Veterans Memorial,01070045,      25.2, 100.0,   8.2 to 1,  80.2, 100.0
Gloucester - West Parish,01070050,      27.5, 100.0,  12.9 to 1,  80.0,  96.4
Gosnold - Cuttyhunk Elementary,01090005,       1.1, 100.0,   1.8 to 1,   0.0, 100.0
Grafton - Grafton High School,01100505,      65.2, 100.0,  12.8 to 1,  81.6,  92.3
Grafton - Grafton Middle,01100305,      38.4, 100.0,  13.6 to 1,  78.6,  97.4
Grafton - Millbury Street Elementary School,01100200,      51.8, 100.0,  12.7 to 1,  86.6,  96.0
Grafton - North Grafton Elementary,01100025,      20.4, 100.0,  12.4 to 1,  75.5,  97.6
Grafton - North Street Elementary School,01100030,      44.0, 100.0,  13.3 to 1,  81.8, 100.0
Grafton - South Grafton Elementary,01100005,      21.7, 100.0,  13.9 to 1,  93.1,  93.1
Granby - East Meadow,01110004,      11.0, 100.0,  13.5 to 1, 100.0, 100.0
Granby - Granby Jr Sr High School,01110505,      28.0, 100.0,  12.2 to 1,  96.4,  96.4
Granby - West Street,01110010,      18.0, 100.0,  11.8 to 1,  96.7, 100.0
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,     130.5,  98.5,  10.7 to 1,  85.4,  82.8
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,     144.1,  96.7,  10.5 to 1,  81.3,  77.8
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,     182.0,  99.5,  12.5 to 1,  90.1,  84.1
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,     198.5,  98.5,  10.8 to 1,  90.4,  87.9
Greenfield - Discovery School at Four Corners,01140025,      21.9, 100.0,  11.5 to 1,  86.3,  95.4
Greenfield - Federal Street School,01140010,      22.7,  95.6,  10.9 to 1,  74.9,  84.6
Greenfield - Greenfield High,01140505,      42.7,  93.4,  10.8 to 1,  79.4,  83.6
Greenfield - Greenfield Middle,01140305,      41.8, 100.0,   9.1 to 1,  80.9,  80.4
Greenfield - Newton School,01140035,      22.3, 100.0,  10.9 to 1,  76.7,  95.5
Greenfield - The Academy of Early Learning at North Parish,01140005,       7.9, 100.0,  14.8 to 1,  83.5,  68.4
Groton-Dunstable - Boutwell School,06730001,       4.0, 100.0,  15.8 to 1,  75.0, 100.0
Groton-Dunstable - Florence Roche School,06730010,      34.8, 100.0,  14.7 to 1,  85.6,  97.1
Groton-Dunstable - Groton Dunstable Regional,06730505,      56.2, 100.0,  14.0 to 1,  85.6,  92.1
Groton-Dunstable - Groton Dunstable Regional Middle,06730305,      58.1, 100.0,  13.2 to 1,  82.8,  94.8
Groton-Dunstable - Swallow/Union School,06730005,      23.8, 100.0,  12.2 to 1,  87.4,  91.6
Hadley - Hadley Elementary,01170015,      23.5, 100.0,  12.2 to 1,  83.0,  91.5
Hadley - Hopkins Academy,01170505,      24.8, 100.0,   9.8 to 1,  74.6,  87.9
Halifax - Halifax Elementary,01180005,      39.0, 100.0,  15.3 to 1,  89.7, 100.0
Hamilton-Wenham - Bessie Buker Elementary,06750007,      16.0, 100.0,  16.1 to 1,  89.4,  96.9
Hamilton-Wenham - Cutler School,06750010,      21.8, 100.0,  13.3 to 1,  78.4,  99.1
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,      47.7,  97.9,  11.7 to 1,  91.6,  95.8
Hamilton-Wenham - Miles River Middle,06750310,      36.8, 100.0,  10.4 to 1,  88.6,  90.2
Hamilton-Wenham - Winthrop School,06750015,      23.6, 100.0,  12.3 to 1,  95.8,  95.8
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,04990305,      45.2,  73.4,  10.9 to 1,  37.1,  72.6
Hampden-Wilbraham - Green Meadows Elementary,06800005,      20.6, 100.0,  12.1 to 1,  85.5, 100.0
Hampden-Wilbraham - Mile Tree Elementary,06800025,      22.5, 100.0,  15.4 to 1,  91.1, 100.0
Hampden-Wilbraham - Minnechaug Regional High,06800505,      73.4, 100.0,  15.1 to 1,  96.1,  94.6
Hampden-Wilbraham - Soule Road,06800030,      21.7, 100.0,  15.9 to 1,  95.4,  95.4
Hampden-Wilbraham - Stony Hill School,06800050,      19.6, 100.0,  15.2 to 1, 100.0, 100.0
Hampden-Wilbraham - Thornton Burgess,06800305,      10.6, 100.0,   9.9 to 1,  84.9,  90.6
Hampden-Wilbraham - Wilbraham Middle,06800310,      37.1, 100.0,  16.4 to 1,  91.9,  97.3
Hampshire - Hampshire Regional High,06830505,      73.1,  97.3,   9.6 to 1,  85.2,  94.3
Hancock - Hancock Elementary,01210005,       6.8,  97.1,   6.2 to 1,  50.0,  91.2
Hanover - Cedar Elementary,01220004,      32.0, 100.0,  12.9 to 1,  93.8, 100.0
Hanover - Center Elementary,01220005,      21.4,  97.7,  15.7 to 1,  88.3, 100.0
Hanover - Hanover High,01220505,      61.7,  98.4,  13.0 to 1,  91.2,  91.9
Hanover - Hanover Middle,01220305,      72.1,  97.2,  11.5 to 1,  88.8,  97.2
Hanover - Sylvester,01220015,      17.1, 100.0,  13.4 to 1,  82.5, 100.0
Harvard - Bromfield,01250505,      57.3, 100.0,  11.4 to 1,  86.0,  94.8
Harvard - Hildreth Elementary School,01250005,      31.5, 100.0,  14.0 to 1,  90.5,  93.7
Hatfield - Hatfield Elementary,01270005,      19.9, 100.0,  12.4 to 1,  90.5,  95.0
Hatfield - Smith Academy,01270505,      22.4,  98.2,   8.4 to 1,  82.1,  95.5
Haverhill - Bradford Elementary,01280008,      30.5,  96.7,  10.4 to 1,  86.9, 100.0
Haverhill - Caleb Dustin Hunking School,01280030,      62.5, 100.0,  16.4 to 1,  85.6,  96.8
Haverhill - Consentino Annex at Bartlett School,01280005,       8.2, 100.0,  13.1 to 1,  75.5,  87.8
Haverhill - Consentino Middle School,01280100,      63.3,  98.4,  15.4 to 1,  82.6,  92.1
Haverhill - Crowell,01280020,       8.9, 100.0,  10.9 to 1,  67.4,  83.1
Haverhill - Dr Paul Nettle,01280050,      36.7, 100.0,  13.6 to 1,  83.1,  88.3
Haverhill - Golden Hill,01280026,      39.6,  97.5,  12.6 to 1,  80.8,  94.9
Haverhill - Greenleaf Kindergarten Center,01280027,       9.1, 100.0,  11.9 to 1,  89.0, 100.0
Haverhill - Haverhill Alternative School,01280033,       8.0, 100.0,   5.8 to 1,  75.0,  75.0
Haverhill - Haverhill High,01280505,     136.7,  95.6,  13.4 to 1,  77.9,  89.0
Haverhill - John G Whittier,01280085,      29.5, 100.0,  18.4 to 1,  89.8,  91.5
Haverhill - Moody,01280045,      13.5, 100.0,  16.3 to 1,  72.0,  77.9
Haverhill - Pentucket Lake Elementary,01280054,      41.1, 100.0,  12.3 to 1,  73.2, 100.0
Haverhill - TEACH,01280073,       7.0, 100.0,   7.1 to 1,  57.1,  85.7
Haverhill - Tilton,01280075,      42.8, 100.0,  12.6 to 1,  88.3,  93.0
Haverhill - Walnut Square,01280080,       8.5, 100.0,  16.5 to 1, 100.0, 100.0
Hawlemont - Hawlemont Regional,06850005,      11.6,  86.6,  14.1 to 1,  64.7,  91.4
Helen Y. Davis Leadership Academy Charter Public (District) - Helen Y. Davis Leadership Academy Charter Public School,04190305,      13.9,  63.9,  15.4 to 1,  42.2,  78.3
Hill View Montessori Charter Public (District) - Hill View Montessori Charter Public School,04550050,      25.0,  80.0,  12.1 to 1,  56.0,  84.0
Hilltown Cooperative Charter Public (District) - Hilltown Cooperative Charter Public School,04500105,      19.9,  86.5,  10.9 to 1,  78.9, 100.0
Hingham - East Elementary School,01310005,      35.8, 100.0,  14.7 to 1,  87.4, 100.0
Hingham - Hingham High,01310505,      86.0, 100.0,  14.6 to 1,  92.9,  91.4
Hingham - Hingham Middle School,01310410,      68.4, 100.0,  15.7 to 1,  93.6,  95.6
Hingham - Plymouth River,01310019,      29.9, 100.0,  15.7 to 1,  90.0,  96.7
Hingham - South Elementary,01310020,      35.7, 100.0,  14.8 to 1,  84.6,  97.2
Hingham - Wm L Foster Elementary,01310010,      31.1, 100.0,  14.3 to 1, 100.0,  96.8
Holbrook - Holbrook Middle High School,01330505,      39.5, 100.0,  14.9 to 1,  83.9,  89.9
Holbrook - John F Kennedy,01330018,      46.2, 100.0,  13.5 to 1,  87.0, 100.0
Holland - Holland Elementary,01350005,      18.3, 100.0,  12.7 to 1, 100.0, 100.0
Holliston - Holliston High,01360505,      64.9,  99.5,  12.3 to 1,  91.8,  96.3
Holliston - Miller School,01360007,      49.2,  98.0,  13.9 to 1,  79.6,  93.7
Holliston - Placentino Elementary,01360010,      48.2,  97.9,  15.5 to 1,  90.5,  93.0
Holliston - Robert H. Adams Middle School,01360305,      52.2, 100.0,  13.0 to 1,  86.2,  84.3
Holyoke - E N White Elementary,01370045,      36.7,  89.1,  13.7 to 1,  62.2,  80.9
Holyoke - H.B. Lawrence School,01370070,      20.6,  80.6,  13.5 to 1,  46.6,  63.6
Holyoke - Holyoke High,01370505,      87.2,  97.7,  15.3 to 1,  76.4,  84.4
Holyoke - Joseph Metcalf School,01370003,      13.9,  92.8,  18.6 to 1,  78.4,  92.8
Holyoke - Kelly Elementary,01370040,      36.7,  89.1,  15.3 to 1,  56.4,  67.3
Holyoke - Lt Clayre Sullivan Elementary,01370055,      42.6,  85.9,  12.7 to 1,  71.1,  83.6
Holyoke - Lt Elmer J McMahon Elementary,01370015,      30.0, 100.0,  14.0 to 1,  73.3,  86.7
Holyoke - Maurice A Donahue Elementary,01370060,      38.0,  86.8,  12.2 to 1,  68.4,  73.7
Holyoke - Morgan Full Service Community School,01370025,      31.0,  90.3,  13.4 to 1,  58.1,  77.4
Holyoke - William R. Peck School,01370030,      34.0,  88.2,  10.0 to 1,  50.0,  67.7
Holyoke - Wm J Dean Vocational Technical High,01370605,      28.0,  82.1,   6.5 to 1,  62.5,  44.6
Holyoke Community Charter (District) - Holyoke Community Charter School,04530005,      52.1,  69.4,  13.5 to 1,  54.1,  84.6
Hopedale - Hopedale Jr Sr High,01380505,      43.7, 100.0,  11.6 to 1,  85.1,  94.3
Hopedale - Memorial,01380010,      41.9, 100.0,  13.0 to 1,  90.2,  92.6
Hopedale - Park Street School,01380003,       2.6,  84.6,  31.9 to 1, 100.0, 100.0
Hopkinton - Center,01390005,      32.9, 100.0,  13.9 to 1,  95.7, 100.0
Hopkinton - Elmwood,01390010,      34.4, 100.0,  14.6 to 1,  85.5, 100.0
Hopkinton - Hopkins Elementary School,01390015,      38.0, 100.0,  14.2 to 1,  94.3,  97.4
Hopkinton - Hopkinton High,01390505,      81.4, 100.0,  14.2 to 1,  93.4,  96.1
Hopkinton - Hopkinton Middle School,01390305,      65.6, 100.0,  12.3 to 1,  91.7,  97.3
Hopkinton - Hopkinton Pre-School,01390003,       4.0, 100.0,  14.8 to 1, 100.0, 100.0
Hudson - C A Farley,01410030,      39.6, 100.0,  11.6 to 1,  92.4,  97.2
Hudson - David J. Quinn Middle School,01410410,      57.4,  98.3,  11.3 to 1,  84.0,  90.6
Hudson - Forest Avenue Elementary,01410015,      28.8, 100.0,  12.3 to 1,  89.6,  99.3
Hudson - Hudson High,01410505,      84.0,  98.8,  11.1 to 1,  89.3,  88.1
Hudson - Mulready Elementary,01410007,      24.2, 100.0,   9.8 to 1,  89.3,  91.3
Hull - Hull High,01420505,      29.8, 100.0,   9.9 to 1,  77.9,  84.6
Hull - Lillian M Jacobs,01420015,      34.0, 100.0,  12.1 to 1,  91.2,  97.1
Hull - Memorial Middle,01420305,      19.9, 100.0,   9.5 to 1,  74.8,  74.8
Innovation Academy Charter (District) - Innovation Academy Charter School,04350305,      75.4,  88.4,  10.6 to 1,  66.1,  81.9
Ipswich - Ipswich High,01440505,      47.4,  99.2,  10.9 to 1,  79.7,  90.7
Ipswich - Ipswich Middle School,01440305,      41.9, 100.0,  10.5 to 1,  87.3,  92.8
Ipswich - Paul F Doyon Memorial,01440007,      32.9, 100.0,  12.2 to 1,  86.2,  97.0
Ipswich - Winthrop,01440015,      33.7, 100.0,  11.2 to 1,  77.9, 100.0
KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School,04630205,      55.0,  49.1,  10.1 to 1,  21.8,  78.2
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,04290010,     109.6,  56.3,  12.2 to 1,  17.8,  84.4
King Philip - King Philip Middle School,06900510,      45.4, 100.0,  16.3 to 1,  84.6,  93.4
King Philip - King Philip Regional High,06900505,      81.7, 100.0,  15.9 to 1,  76.0,  83.7
Kingston - Kingston Elementary,01450005,      30.2, 100.0,  14.9 to 1,  72.8, 100.0
Kingston - Kingston Intermediate,01450020,      36.0, 100.0,  15.9 to 1,  91.7, 100.0
Lanesborough - Lanesborough Elementary,01480005,      19.7, 100.0,  10.7 to 1,  66.5,  86.8
Lawrence - Alexander B Bruce,01490015,      41.6, 100.0,  12.4 to 1,  66.3,  78.4
Lawrence - Arlington Middle School,01490017,      39.0,  97.4,  15.0 to 1,  74.4,  74.4
Lawrence - Community Day Arlington,01490009,      59.5,  91.6,   9.9 to 1,  29.4,  74.8
Lawrence - Edward F. Parthum,01490053,      39.4,  94.9,  15.8 to 1,  72.1,  84.7
Lawrence - Emily G Wetherbee,01490080,      47.0,  97.9,  14.9 to 1,  76.6,  78.7
Lawrence - Francis M Leahy,01490040,      35.0,  97.1,  14.8 to 1,  77.2,  94.3
Lawrence - Frost Middle School,01490525,      32.1, 100.0,  15.8 to 1,  90.7,  87.5
Lawrence - Gerard A. Guilmette,01490022,      41.1,  95.1,  12.5 to 1,  48.9,  90.3
Lawrence - Guilmette Middle School,01490025,      45.0, 100.0,  10.8 to 1,  60.0,  69.1
Lawrence - High School Learning Center,01490536,      17.8,  96.6,  10.5 to 1,  85.4,  79.8
Lawrence - James F Hennessey,01490020,      26.1,  96.2,  13.3 to 1,  73.2,  92.4
Lawrence - John Breen School,01490003,      19.1, 100.0,  17.5 to 1,  79.0, 100.0
Lawrence - John K Tarbox,01490075,      21.8,  95.4,  15.0 to 1,  81.6,  90.8
Lawrence - Lawlor Early Childhood Center,01490002,      12.0,  91.7,  13.6 to 1,  91.7,  83.3
Lawrence - Lawrence Family Public Academy,01490011,      17.1, 100.0,  12.4 to 1,  88.3,  88.3
Lawrence - Lawrence High School,01490515,     252.9,  91.1,  13.1 to 1,  61.1,  76.8
Lawrence - Oliver Partnership School,01490048,      35.0,  91.4,  12.8 to 1,  71.4,  88.6
Lawrence - Parthum Middle School,01490027,      39.0,  97.4,  14.9 to 1,  69.2,  76.9
Lawrence - Phoenix Academy Lawrence,01490540,       8.3,  59.9,  15.0 to 1,  21.6,  49.1
Lawrence - Robert Frost,01490018,      40.0,  90.0,  14.8 to 1,  70.0,  80.0
Lawrence - Rollins Early Childhood Center,01490001,      15.1, 100.0,  12.6 to 1,  60.2,  93.4
Lawrence - School for Exceptional Studies,01490537,      32.6,  78.5,   4.6 to 1,  41.7,  61.6
Lawrence - South Lawrence East Elementary School,01490004,      49.9,  90.0,  15.0 to 1,  60.0,  82.0
Lawrence - Spark Academy,01490085,      41.1,  65.9,  11.2 to 1,  29.4,  58.6
Lawrence - UP Academy Leonard Middle School,01490090,      26.0,  88.5,  11.4 to 1,  53.8,  30.8
Lawrence - UP Academy Oliver Middle School,01490049,      27.0,  81.5,  12.7 to 1,  22.2,  63.0
Lawrence Family Development Charter (District) - Lawrence Family Development Charter School,04540205,      60.9,  95.8,  12.1 to 1,  59.6,  91.7
Lee - Lee Elementary,01500025,      34.4, 100.0,  10.0 to 1,  85.5,  97.1
Lee - Lee Middle/High School,01500505,      35.4,  97.2,   9.8 to 1,  88.7,  88.7
Leicester - Leicester High,01510505,      35.5,  97.2,  13.0 to 1,  81.2,  92.9
Leicester - Leicester Memorial Elementary,01510005,      21.5, 100.0,  15.5 to 1,  88.3, 100.0
Leicester - Leicester Middle,01510015,      30.0, 100.0,  13.7 to 1,  86.7,  93.3
Leicester - Leicester Primary School,01510010,      24.5, 100.0,  14.8 to 1,  81.7, 100.0
Lenox - Lenox Memorial High,01520505,      50.9, 100.0,   8.7 to 1,  92.6,  87.8
Lenox - Morris,01520015,      29.0, 100.0,  10.7 to 1,  93.1, 100.0
Leominster - Bennett,01530003,       6.0,  83.3,  14.3 to 1,  50.0, 100.0
Leominster - Center For Technical Education Innovation,01530605,      32.1,  93.5,  22.3 to 1,  93.5,  81.0
Leominster - Fall Brook,01530007,      41.5, 100.0,  15.8 to 1,  92.8, 100.0
Leominster - Frances Drake School,01530010,      41.1,  97.6,  13.2 to 1,  87.8,  99.8
Leominster - Johnny Appleseed,01530025,      42.5, 100.0,  15.3 to 1,  92.9,  97.6
Leominster - Leominster Center for Excellence,01530515,       5.0, 100.0,  10.0 to 1,  80.0,  40.0
Leominster - Leominster High School,01530505,      99.8,  97.0,  10.6 to 1,  87.9,  90.8
Leominster - Lincoln School,01530005,       5.0, 100.0,   9.6 to 1,  80.0,  80.0
Leominster - Northwest,01530030,      44.0,  97.7,  15.6 to 1,  90.9, 100.0
Leominster - Priest Street,01530040,       8.0, 100.0,  15.6 to 1, 100.0, 100.0
Leominster - Samoset School,01530045,      37.0, 100.0,  13.3 to 1,  83.8,  86.5
Leominster - Sky View Middle School,01530320,      56.0,  98.2,  16.0 to 1,  87.5,  91.1
Leverett - Leverett Elementary,01540005,      18.0, 100.0,   6.9 to 1,  77.8,  94.4
Lexington - Bowman,01550008,      47.6, 100.0,  11.8 to 1,  76.9, 100.0
Lexington - Bridge,01550006,      45.2, 100.0,  12.7 to 1,  79.7,  91.1
