2017-18 Enrollment By Race/Gender Report (School) ,,,,,,,,,,
School Name,School Code,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Marblehead - Village School,01680016,   3.0,   1.3,   6.9,  85.4,   0.3,   0.0,   3.1,  53.1,  46.9
Marblehead Community Charter Public (District) - Marblehead Community Charter Public School,04640305,   4.4,   4.4,   1.3,  86.5,   0.9,   0.0,   2.6,  60.7,  39.3
Marion - Sippican,01690005,   2.2,   1.3,   3.5,  87.9,   0.4,   0.0,   4.6,  54.0,  46.0
Marlborough - 1 LT Charles W. Whitcomb School,01700045,   3.1,   2.0,  49.5,  42.1,   0.0,   0.0,   3.3,  52.1,  47.9
Marlborough - Charles Jaworek School,01700030,   3.0,   6.8,  42.8,  45.3,   0.1,   0.0,   1.8,  53.7,  46.3
Marlborough - Early Childhood Center,01700006,   3.4,  17.2,  14.9,  59.8,   0.0,   1.1,   3.4,  62.1,  37.9
Marlborough - Francis J Kane,01700008,   4.5,   3.2,  43.2,  46.1,   0.0,   0.0,   2.9,  50.2,  49.8
Marlborough - Marlborough High,01700505,   3.2,   2.6,  46.8,  45.9,   0.1,   0.0,   1.4,  50.9,  49.1
Marlborough - Richer,01700025,   3.8,   2.2,  58.9,  31.8,   0.2,   0.0,   3.1,  50.3,  49.7
Marshfield - Daniel Webster,01710015,   0.5,   2.0,   4.0,  91.3,   0.5,   0.7,   1.0,  48.6,  51.4
Marshfield - Eames Way School,01710005,   0.4,   0.0,   0.8,  96.7,   0.0,   0.0,   2.1,  62.6,  37.4
Marshfield - Furnace Brook Middle,01710310,   0.1,   0.9,   2.6,  94.7,   0.0,   0.1,   1.5,  53.3,  46.6
Marshfield - Gov Edward Winslow,01710020,   0.5,   0.5,   2.2,  94.9,   0.0,   0.0,   1.9,  50.6,  49.4
Marshfield - Marshfield High,01710505,   0.7,   1.2,   2.8,  94.3,   0.2,   0.1,   0.7,  49.0,  51.0
Marshfield - Martinson Elementary,01710025,   0.0,   2.8,   4.7,  89.1,   0.7,   0.0,   2.8,  50.7,  49.3
Marshfield - South River,01710010,   0.5,   0.3,   3.2,  92.5,   0.0,   0.0,   3.5,  49.6,  50.4
Martha's Vineyard - Martha's Vineyard Regional High,07000505,   3.6,   1.4,  13.1,  74.9,   2.1,   0.3,   4.6,  50.9,  48.9
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,04660550,   3.3,   1.1,  10.3,  73.9,   2.2,   0.0,   9.2,  45.7,  54.3
Martin Luther King Jr. Charter School of Excellence (District) - Martin Luther King Jr. Charter School of Excellence,04920005,  37.1,   1.7,  53.7,   2.5,   0.0,   0.0,   5.0,  47.9,  52.1
Masconomet - Masconomet Regional High School,07050505,   0.4,   3.9,   2.3,  91.1,   0.3,   0.1,   1.9,  48.2,  51.8
Masconomet - Masconomet Regional Middle School,07050405,   0.5,   2.7,   2.3,  92.1,   0.0,   0.0,   2.4,  49.2,  50.8
Mashpee - Kenneth Coombs School,01720005,   3.6,   1.4,   7.0,  69.2,   6.5,   0.2,  12.0,  54.3,  45.7
Mashpee - Mashpee High,01720505,   5.5,   1.6,   4.2,  77.4,   5.5,   0.0,   5.8,  51.2,  48.8
Mashpee - Mashpee Middle School,01720020,   5.2,   2.6,   2.2,  77.4,   7.0,   0.4,   5.2,  47.8,  52.2
Mashpee - Quashnet School,01720035,   2.9,   1.6,   3.5,  77.1,   6.8,   0.0,   8.0,  50.1,  49.9
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District - Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010900,   9.9,   1.2,  20.0,  60.3,   0.2,   0.7,   7.7,  47.2,  52.8
MATCH Charter Public School (District) - MATCH Charter Public School,04690505,  47.0,   0.9,  46.9,   2.4,   0.6,   0.1,   2.1,  47.8,  52.2
Mattapoisett - Center,01730005,   0.4,   1.7,   3.8,  89.5,   0.0,   0.0,   4.6,  49.0,  51.0
Mattapoisett - Old Hammondtown,01730010,   2.4,   2.0,   2.4,  88.8,   0.0,   0.0,   4.4,  54.1,  45.9
Maynard - Fowler School,01740305,   3.1,   1.1,  11.5,  80.1,   0.2,   0.0,   4.0,  50.6,  49.4
Maynard - Green Meadow,01740010,   1.2,   1.2,  12.6,  78.6,   0.0,   0.0,   6.4,  53.9,  46.1
Maynard - Maynard High,01740505,   3.6,   4.1,  12.3,  75.6,   0.3,   0.0,   4.1,  46.9,  53.1
Medfield - Dale Street,01750005,   0.5,   2.7,   7.4,  85.2,   0.0,   0.0,   4.1,  52.1,  47.9
Medfield - Medfield Senior High,01750505,   1.3,   5.9,   2.2,  87.7,   0.0,   0.2,   2.7,  49.0,  51.0
Medfield - Memorial School,01750003,   1.1,   2.3,   5.3,  87.2,   0.2,   0.0,   3.9,  49.5,  50.5
Medfield - Ralph Wheelock School,01750007,   1.9,   3.7,   5.0,  86.2,   0.8,   0.0,   2.4,  54.0,  46.0
Medfield - Thomas Blake Middle,01750305,   0.8,   4.5,   2.4,  88.3,   0.5,   0.0,   3.5,  50.8,  49.2
Medford - Brooks School,01760130,   7.4,   6.2,   6.8,  73.5,   0.2,   0.0,   6.0,  52.4,  47.6
Medford - Christopher Columbus,01760140,  18.3,   4.5,  15.6,  54.9,   0.0,   0.0,   6.6,  52.8,  47.2
Medford - Curtis-Tufts,01760510,  30.8,   0.0,  15.4,  53.8,   0.0,   0.0,   0.0,  61.5,  38.5
Medford - John J McGlynn Elementary School,01760068,  14.3,  13.7,  11.6,  51.3,   1.0,   0.2,   7.8,  48.1,  51.9
Medford - John J. McGlynn Middle School,01760320,  16.3,  15.0,  14.3,  50.4,   0.2,   0.0,   3.7,  53.5,  46.5
Medford - Madeleine Dugger Andrews,01760315,  10.2,   4.8,   7.6,  72.0,   0.0,   0.0,   5.4,  52.6,  47.4
Medford - Medford High,01760505,  15.3,   9.6,  11.7,  60.3,   0.1,   0.1,   2.9,  49.9,  50.1
Medford - Milton Fuller Roberts,01760150,   9.8,  12.2,  10.7,  61.7,   0.7,   0.0,   4.8,  52.2,  47.8
Medway - Burke/Memorial Elementary School,01770015,   2.0,   1.4,   2.2,  91.7,   0.0,   0.0,   2.8,  47.1,  52.9
Medway - John D Mc Govern Elementary,01770013,   0.9,   1.8,   3.6,  92.2,   0.0,   0.3,   1.2,  50.1,  49.9
Medway - Medway High,01770505,   1.6,   3.3,   3.6,  89.7,   0.1,   0.1,   1.5,  52.2,  47.8
Medway - Medway Middle,01770305,   1.1,   3.1,   3.8,  89.0,   0.3,   0.0,   2.6,  49.2,  50.8
Melrose - Early Childhood Center,01780003,   1.9,   4.4,   4.1,  82.1,   0.0,   0.0,   7.5,  51.9,  48.1
Melrose - Herbert Clark Hoover,01780017,   3.0,   4.5,   7.1,  80.3,   0.0,   0.0,   5.2,  52.4,  47.6
Melrose - Horace Mann,01780025,   2.1,   1.1,   1.8,  90.4,   0.0,   0.0,   4.6,  45.9,  54.1
Melrose - Lincoln,01780020,   7.1,  11.4,  10.0,  63.7,   0.2,   0.0,   7.6,  47.3,  52.7
Melrose - Melrose High,01780505,   8.5,   4.0,   4.5,  80.2,   0.0,   0.0,   2.8,  47.0,  53.0
Melrose - Melrose Middle,01780305,   8.0,   4.2,   4.1,  79.4,   0.3,   0.0,   4.0,  49.8,  50.2
Melrose - Roosevelt,01780035,   6.9,   5.3,   5.5,  77.3,   0.0,   0.0,   5.0,  52.8,  47.2
Melrose - Winthrop,01780050,   4.4,   3.5,   2.5,  83.2,   0.5,   0.0,   5.9,  51.1,  48.9
Mendon-Upton - Henry P Clough,07100179,   0.0,   0.5,   3.5,  94.9,   0.0,   0.0,   1.1,  49.6,  50.4
Mendon-Upton - Memorial School,07100001,   0.0,   3.6,   4.2,  89.1,   0.0,   0.0,   3.1,  54.3,  45.7
Mendon-Upton - Miscoe Hill School,07100015,   0.4,   2.7,   4.8,  89.3,   0.0,   0.0,   2.8,  50.6,  49.4
Mendon-Upton - Nipmuc Regional High,07100510,   1.3,   1.6,   3.2,  90.9,   0.0,   0.0,   3.2,  45.4,  54.6
Methuen - Comprehensive Grammar School,01810050,   2.3,   5.6,  33.4,  54.7,   0.0,   0.1,   4.0,  49.1,  50.9
Methuen - Donald P Timony Grammar,01810060,   1.6,   3.5,  48.2,  41.7,   0.1,   0.0,   5.0,  52.4,  47.6
Methuen - Marsh Grammar School,01810030,   0.9,   2.8,  28.1,  63.9,   0.0,   0.2,   4.1,  52.5,  47.5
Methuen - Methuen High,01810505,   0.7,   4.2,  35.6,  54.0,   0.2,   0.1,   5.2,  52.8,  47.2
Methuen - Tenney Grammar School,01810055,   1.1,   3.1,  50.9,  39.2,   0.0,   0.0,   5.7,  54.1,  45.9
Middleborough - Henry B. Burkland Elementary School,01820008,   2.1,   0.9,   3.4,  86.8,   0.2,   0.2,   6.4,  51.9,  48.1
Middleborough - John T. Nichols Middle,01820305,   2.4,   1.9,   4.2,  87.0,   1.1,   0.0,   3.3,  50.2,  49.8
Middleborough - Mary K. Goode Elementary School,01820010,   3.4,   0.3,   2.4,  90.7,   0.5,   0.0,   2.7,  51.0,  49.0
Middleborough - Memorial Early Childhood Center,01820011,   2.4,   0.3,   4.8,  88.3,   0.7,   0.0,   3.4,  50.2,  49.8
Middleborough - Middleborough High,01820505,   2.6,   0.7,   3.5,  89.3,   0.7,   0.0,   3.2,  50.8,  49.2
Middleton - Fuller Meadow,01840003,   0.9,   3.9,   2.6,  88.2,   0.4,   0.0,   3.9,  49.6,  50.4
Middleton - Howe-Manning,01840005,   0.4,   4.8,   2.8,  88.2,   0.2,   0.0,   3.5,  51.6,  48.4
Milford - Brookside,01850065,   4.2,   1.7,  28.2,  62.0,   0.2,   0.2,   3.6,  51.7,  48.3
Milford - Memorial,01850010,   2.8,   2.3,  30.9,  60.1,   0.4,   0.0,   3.4,  51.8,  48.2
Milford - Milford High,01850505,   3.0,   2.6,  25.0,  65.0,   2.2,   0.1,   2.2,  49.0,  51.0
Milford - Shining Star Early Childhood Center,01850075,   0.7,   4.9,  18.8,  74.3,   0.7,   0.0,   0.7,  54.9,  45.1
Milford - Stacy Middle,01850305,   2.7,   2.7,  26.1,  64.4,   1.3,   0.0,   2.9,  53.1,  46.9
Milford - Woodland,01850090,   3.0,   2.0,  28.7,  58.8,   3.0,   0.1,   4.5,  53.0,  47.0
Millbury - Elmwood Street,01860017,   2.6,   3.1,   4.1,  85.0,   0.0,   0.0,   5.2,  52.6,  47.4
Millbury - Millbury Junior/Senior High,01860505,   2.5,   1.7,   7.9,  85.0,   0.3,   0.0,   2.6,  48.3,  51.7
Millbury - Raymond E. Shaw Elementary,01860025,   1.6,   3.7,  10.3,  77.8,   0.0,   0.0,   6.7,  49.5,  50.5
Millis - Clyde F Brown,01870005,   1.0,   1.6,   9.0,  84.3,   0.2,   0.0,   4.0,  48.4,  51.6
Millis - Millis High School,01870505,   1.8,   3.1,   4.8,  88.3,   0.5,   0.3,   1.3,  50.4,  49.6
Millis - Millis Middle,01870020,   2.0,   2.0,   8.8,  83.0,   0.2,   0.0,   3.9,  53.3,  46.7
Milton - Charles S Pierce Middle,01890410,  14.8,   5.9,   4.9,  70.7,   0.2,   0.2,   3.3,  50.1,  49.9
Milton - Collicot,01890005,   3.1,   8.4,   2.9,  82.2,   0.0,   0.1,   3.2,  54.6,  45.4
Milton - Cunningham School,01890007,   7.9,   8.1,   4.3,  76.2,   0.2,   0.0,   3.2,  50.9,  49.1
Milton - Glover,01890010,   7.2,   4.4,   3.2,  78.8,   0.0,   0.0,   6.3,  50.3,  49.7
Milton - Milton High,01890505,  20.0,   7.0,   5.1,  63.6,   0.0,   0.4,   3.9,  49.5,  50.4
Milton - Tucker,01890020,  41.7,   6.3,   5.9,  37.9,   0.0,   0.0,   8.2,  51.0,  49.0
Minuteman Regional Vocational Technical - Minuteman Regional High,08300605,   4.1,   4.3,   9.1,  79.4,   0.2,   0.0,   3.0,  63.0,  36.6
Mohawk Trail - Buckland-Shelburne Regional,07170005,   0.0,   0.7,   6.2,  89.4,   0.0,   0.0,   3.7,  50.5,  49.5
Mohawk Trail - Colrain Central,07170010,   1.9,   0.0,   4.7,  92.5,   0.0,   0.0,   0.9,  47.2,  52.8
Mohawk Trail - Mohawk Trail Regional High,07170505,   0.3,   1.0,   3.9,  91.0,   0.0,   0.0,   3.9,  47.5,  52.5
Mohawk Trail - Sanderson Academy,07170020,   0.0,   0.0,   3.8,  91.8,   1.3,   0.6,   2.5,  59.1,  40.9
Monomoy Regional School District - Chatham Elementary School,07120001,   5.8,   0.4,   8.7,  80.6,   0.0,   0.4,   4.1,  43.4,  56.6
Monomoy Regional School District - Harwich Elementary School,07120002,   4.9,   0.7,   6.9,  78.5,   0.9,   0.0,   8.0,  53.3,  46.7
Monomoy Regional School District - Monomoy Regional High School,07120515,   6.8,   1.9,   4.8,  81.1,   0.8,   0.2,   4.4,  51.8,  48.2
Monomoy Regional School District - Monomoy Regional Middle School,07120315,   7.9,   0.7,   6.6,  81.9,   0.2,   0.4,   2.2,  49.3,  50.7
Monson - Granite Valley Middle,01910310,   0.7,   1.4,   3.2,  90.6,   0.4,   1.4,   2.2,  49.6,  50.4
Monson - Monson High School,01910505,   1.2,   0.4,   1.6,  94.6,   0.0,   0.4,   1.9,  49.2,  50.8
Monson - Quarry Hill Community School,01910025,   0.8,   0.8,   3.1,  92.6,   0.3,   0.3,   2.3,  51.7,  48.3
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,08320605,   1.7,   1.1,  14.3,  79.2,   0.1,   0.0,   3.6,  52.5,  47.1
Mount Greylock - Mt Greylock Regional High,07150505,   1.1,   1.9,   2.6,  90.1,   0.0,   0.0,   4.3,  48.1,  51.9
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,04700105,  17.3,  19.6,   9.3,  49.3,   0.3,   0.0,   4.3,  49.9,  50.1
Nahant - Johnson,01960010,   0.0,   0.7,   4.8,  93.9,   0.0,   0.0,   0.7,  49.0,  51.0
Nantucket - Cyrus Peirce,01970010,  10.9,   1.1,  27.0,  56.0,   0.0,   0.0,   4.9,  48.0,  52.0
Nantucket - Nantucket Elementary,01970005,   7.4,   1.4,  38.3,  49.0,   0.0,   0.0,   3.9,  51.8,  48.2
Nantucket - Nantucket High,01970505,  13.7,   1.5,  22.9,  58.3,   0.4,   0.2,   3.0,  51.6,  48.4
Nantucket - Nantucket Intermediate School,01970020,   9.1,   1.9,  37.1,  49.3,   0.0,   0.0,   2.7,  52.8,  47.2
Narragansett - Baldwinville Elementary,07200005,   1.0,   0.3,   6.2,  88.2,   0.3,   0.0,   3.8,  56.1,  43.9
Narragansett - Narragansett Middle,07200305,   0.9,   0.0,   6.6,  89.5,   0.0,   0.2,   2.8,  51.4,  48.6
Narragansett - Narragansett Regional High,07200505,   1.2,   0.3,   7.8,  88.1,   0.0,   0.0,   2.6,  48.4,  51.6
Narragansett - Phillipston Memorial,07200003,   2.4,   0.0,   3.6,  90.5,   0.0,   0.0,   3.6,  60.4,  39.6
Narragansett - Templeton Center,07200020,   0.0,   0.6,   8.2,  87.6,   0.0,   0.0,   3.5,  54.1,  45.9
Nashoba - Center School,07250020,   0.5,   5.5,   4.1,  87.3,   0.4,   0.0,   2.3,  52.0,  48.0
Nashoba - Florence Sawyer School,07250025,   0.3,   4.3,   3.5,  88.5,   0.0,   0.1,   3.3,  48.8,  51.2
Nashoba - Hale,07250310,   1.0,   2.0,   3.0,  92.4,   0.0,   0.0,   1.7,  45.5,  54.5
Nashoba - Luther Burbank Middle School,07250305,   2.4,   2.4,   6.0,  84.3,   0.0,   0.8,   4.0,  53.4,  46.6
Nashoba - Mary Rowlandson Elementary,07250010,   1.3,   0.6,   9.6,  85.6,   0.4,   0.0,   2.5,  50.7,  49.3
Nashoba - Nashoba Regional,07250505,   1.4,   2.8,   3.7,  89.1,   0.0,   0.0,   2.9,  50.1,  49.9
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,08520605,   1.1,   1.6,   5.0,  89.4,   0.6,   0.0,   2.3,  58.3,  41.7
Natick - Bennett-Hemenway,01980005,   2.5,  11.6,   2.5,  77.4,   0.0,   0.2,   5.7,  51.0,  49.0
Natick - Brown,01980010,   0.8,  26.3,   8.4,  58.4,   0.4,   0.0,   5.7,  51.7,  48.3
Natick - J F Kennedy Middle School,01980305,   2.2,  10.6,   5.0,  78.2,   0.2,   0.0,   3.9,  50.9,  49.1
Natick - Johnson,01980031,   1.3,   4.4,   7.4,  79.9,   0.0,   0.0,   7.0,  58.1,  41.9
Natick - Lilja Elementary,01980035,   2.1,  10.2,   8.8,  73.8,   0.0,   0.0,   5.1,  47.1,  52.9
Natick - Memorial,01980043,   1.0,   5.6,   5.6,  83.1,   0.0,   0.0,   4.8,  53.0,  47.0
Natick - Natick High,01980505,   3.2,   7.2,   5.7,  79.7,   0.0,   0.2,   4.0,  49.7,  50.3
Natick - Wilson Middle,01980310,   3.7,   5.8,   5.6,  77.5,   0.1,   0.1,   7.2,  51.1,  48.9
Nauset - Nauset Regional High,06600505,   5.2,   2.7,   3.5,  85.0,   0.2,   0.1,   3.3,  45.4,  54.6
Nauset - Nauset Regional Middle,06600305,   3.8,   2.5,   4.3,  85.7,   0.0,   0.2,   3.4,  51.3,  48.7
Needham - Broadmeadow,01990005,   1.3,   6.6,   6.4,  79.7,   0.0,   0.0,   5.9,  47.0,  53.0
Needham - High Rock School,01990410,   2.4,  10.0,   6.7,  75.3,   0.0,   0.0,   5.6,  49.1,  50.9
Needham - Hillside Elementary,01990035,   3.3,  10.7,   5.7,  73.5,   0.2,   0.0,   6.6,  52.6,  47.4
Needham - John Eliot,01990020,   6.9,  12.7,   7.9,  68.7,   0.0,   0.0,   3.8,  51.4,  48.6
Needham - Needham High,01990505,   2.9,   8.2,   4.9,  80.6,   0.0,   0.1,   3.3,  50.5,  49.4
Needham - Newman Elementary,01990050,   4.4,   9.3,   5.7,  73.9,   0.0,   0.1,   6.6,  51.3,  48.7
Needham - Pollard Middle,01990405,   1.9,   8.5,   5.5,  78.5,   0.2,   0.0,   5.4,  47.1,  52.9
Needham - William Mitchell,01990040,   1.4,   8.0,   4.4,  81.5,   0.0,   0.0,   4.6,  48.8,  51.2
Neighborhood House Charter (District) - Neighborhood House Charter School,04440205,  52.9,   2.4,  17.1,  21.2,   0.8,   0.0,   5.6,  50.3,  49.7
New Bedford - Abraham Lincoln,02010095,  10.5,   0.4,  33.2,  49.9,   0.1,   0.1,   5.7,  51.6,  48.4
New Bedford - Alfred J Gomes,02010063,  12.5,   0.4,  64.6,  18.4,   0.4,   0.0,   3.8,  52.1,  47.9
New Bedford - Betsey B Winslow,02010140,   7.7,   3.2,  18.1,  61.3,   0.3,   0.3,   9.0,  49.7,  50.3
New Bedford - Carlos Pacheco,02010105,  18.4,   0.6,  50.3,  27.7,   0.3,   0.0,   2.8,  55.6,  44.4
New Bedford - Casimir Pulaski,02010123,   6.0,   1.1,  17.7,  70.0,   0.1,   0.0,   5.1,  57.4,  42.6
New Bedford - Charles S Ashley,02010010,   6.4,   0.7,  21.6,  66.0,   0.0,   0.0,   5.3,  51.8,  48.2
New Bedford - Elizabeth Carter Brooks,02010015,   9.7,   1.7,  31.5,  50.7,   1.3,   0.3,   4.7,  51.3,  48.7
New Bedford - Ellen R Hathaway,02010075,  10.9,   1.3,  58.1,  24.1,   0.3,   0.0,   5.3,  51.5,  48.5
New Bedford - Elwyn G Campbell,02010020,   6.2,   1.5,  34.3,  51.1,   0.4,   0.0,   6.6,  48.5,  51.5
New Bedford - Hayden/McFadden,02010078,  12.9,   0.1,  56.6,  25.7,   0.7,   0.0,   4.0,  52.3,  47.7
New Bedford - Irwin M. Jacobs Elementary School,02010070,  12.2,   0.0,  56.5,  27.0,   0.6,   0.0,   3.8,  47.5,  52.5
New Bedford - James B Congdon,02010040,  13.7,   0.6,  40.2,  36.9,   0.6,   0.3,   7.7,  47.6,  52.4
New Bedford - Jireh Swift,02010130,   2.8,   1.9,  18.1,  73.0,   0.0,   0.0,   4.2,  47.9,  52.1
New Bedford - John Avery Parker,02010115,  15.8,   0.7,  35.1,  39.3,   0.4,   0.4,   8.4,  54.0,  46.0
New Bedford - John B Devalles,02010050,  11.6,   0.8,  44.7,  40.1,   0.0,   0.0,   2.8,  50.4,  49.6
New Bedford - Keith Middle School,02010405,  15.7,   1.1,  35.7,  40.9,   0.7,   0.2,   5.7,  51.2,  48.8
New Bedford - New Bedford High,02010505,  15.1,   1.3,  46.7,  31.7,   0.7,   0.3,   4.2,  54.1,  45.9
New Bedford - Normandin Middle School,02010410,   6.7,   1.8,  34.4,  51.5,   0.3,   0.0,   5.3,  51.5,  48.5
New Bedford - Renaissance Community School for the Arts,02010124,  17.9,   0.0,  62.3,  16.1,   0.0,   0.0,   3.6,  44.8,  55.2
New Bedford - Roosevelt Middle School,02010415,  17.0,   0.4,  39.1,  37.9,   0.4,   0.2,   5.0,  52.0,  48.0
New Bedford - Sgt Wm H Carney Academy,02010045,  20.1,   0.8,  31.7,  36.7,   0.1,   0.0,  10.6,  56.6,  43.4
New Bedford - Thomas R Rodman,02010125,   5.6,   2.6,  40.5,  48.7,   0.0,   0.0,   2.6,  56.4,  43.6
New Bedford - Trinity Day Academy,02010510,   5.1,   0.0,  35.4,  50.6,   1.3,   1.3,   6.3,  60.8,  39.2
New Bedford - Whaling City Junior/Senior High School,02010515,  20.0,   0.0,  43.0,  27.0,   0.0,   0.0,  10.0,  68.0,  32.0
New Bedford - William H Taylor,02010135,   9.2,   0.0,  19.1,  65.3,   0.4,   0.0,   6.1,  50.0,  50.0
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,35130305,  88.4,   1.2,   8.1,   1.7,   0.2,   0.0,   0.5,  49.8,  50.2
New Salem-Wendell - Swift River,07280015,   0.0,   2.0,   5.3,  87.5,   0.0,   0.0,   5.3,  48.7,  51.3
Newburyport - Edward G. Molin Elementary School,02040030,   2.5,   1.2,   1.2,  93.8,   0.0,   0.0,   1.2,  49.8,  50.2
Newburyport - Francis T Bresnahan Elementary,02040005,   1.1,   2.0,   4.4,  90.7,   0.0,   0.0,   1.8,  51.1,  48.9
Newburyport - Newburyport High,02040505,   0.8,   1.8,   4.0,  91.1,   0.0,   0.0,   2.3,  46.5,  53.5
Newburyport - Rupert A Nock Middle,02040305,   0.7,   1.6,   2.9,  93.0,   0.0,   0.0,   1.8,  53.7,  46.3
Newton - A E Angier,02070005,   3.2,  14.3,   5.1,  71.7,   0.0,   0.0,   5.6,  47.3,  52.7
Newton - Bigelow Middle,02070305,   5.6,  15.2,   9.2,  63.3,   0.4,   0.0,   6.3,  47.2,  52.8
Newton - Bowen,02070015,   7.6,  25.4,   4.8,  57.0,   0.0,   0.0,   5.2,  52.5,  47.5
Newton - C C Burr,02070020,   5.7,  20.2,   9.8,  56.7,   0.3,   0.0,   7.3,  49.5,  50.5
Newton - Cabot,02070025,   3.6,  12.8,   4.1,  70.3,   0.0,   0.0,   9.2,  47.3,  52.7
Newton - Charles E Brown Middle,02070310,   3.6,  22.0,   6.6,  61.4,   0.0,   0.0,   6.4,  52.9,  47.1
Newton - Countryside,02070040,   4.4,  21.7,   7.8,  56.8,   0.2,   0.0,   9.0,  48.3,  51.7
Newton - F A Day Middle,02070315,   5.8,  14.8,   9.0,  63.4,   0.2,   0.0,   6.7,  55.1,  44.9
Newton - Franklin,02070055,   3.5,  12.2,   9.0,  69.4,   0.2,   0.2,   5.5,  44.5,  55.5
Newton - Horace Mann,02070075,   4.0,  19.1,   8.2,  59.7,   0.0,   0.0,   9.2,  55.9,  44.1
Newton - John Ward,02070120,   2.6,  12.3,   3.9,  73.1,   0.0,   0.0,   8.1,  49.5,  50.5
Newton - Lincoln-Eliot,02070070,   9.4,  17.1,  16.3,  50.5,   0.0,   0.0,   6.7,  48.1,  51.6
Newton - Mason-Rice,02070080,   1.6,  13.7,   3.7,  73.8,   0.0,   0.0,   7.2,  52.5,  47.5
Newton - Memorial Spaulding,02070105,   4.0,  26.5,   8.6,  55.2,   0.0,   0.0,   5.7,  52.5,  47.5
Newton - Newton Early Childhood Center,02070108,   5.6,  21.8,   9.1,  52.3,   0.0,   0.0,  11.2,  64.5,  35.5
Newton - Newton North High,02070505,   5.9,  14.8,   8.9,  65.0,   0.3,   0.1,   4.9,  50.2,  49.6
Newton - Newton South High,02070510,   5.2,  19.9,   6.0,  64.3,   0.1,   0.0,   4.4,  51.3,  48.5
Newton - Oak Hill Middle,02070320,   4.4,  22.1,   5.2,  60.3,   0.2,   0.2,   7.7,  49.5,  50.5
Newton - Peirce,02070100,   4.3,  21.4,   7.2,  60.1,   0.0,   1.1,   5.8,  50.4,  49.6
Newton - Underwood,02070115,   3.2,  18.0,  11.3,  63.0,   0.4,   0.0,   4.2,  46.1,  53.9
Newton - Williams,02070125,   4.1,  28.4,   8.8,  53.4,   0.3,   0.0,   5.1,  54.7,  45.3
Newton - Zervas,02070130,   4.9,  22.4,   6.4,  58.2,   0.2,   0.0,   7.9,  49.6,  50.1
Norfolk - Freeman-Kennedy School,02080005,   0.8,   2.0,   4.1,  89.6,   0.0,   0.0,   3.5,  55.0,  45.0
Norfolk - H Olive Day,02080015,   0.9,   3.0,   2.2,  91.1,   0.0,   0.0,   2.8,  54.1,  45.9
Norfolk County Agricultural - Norfolk County Agricultural,09150705,   1.3,   1.5,   3.3,  90.2,   0.7,   0.0,   3.1,  30.7,  69.3
North Adams - Brayton,02090035,   3.5,   0.0,   6.2,  84.2,   0.0,   0.0,   6.2,  48.8,  51.2
North Adams - Colegrove Park Elementary,02090008,   3.9,   0.3,   6.4,  83.1,   0.6,   0.0,   5.8,  51.0,  49.0
North Adams - Drury High,02090505,   3.4,   0.0,   5.0,  84.3,   0.2,   0.0,   7.1,  46.2,  53.8
North Adams - Greylock,02090015,   1.7,   1.4,   8.4,  80.4,   0.0,   0.7,   7.4,  51.4,  48.6
North Andover - Annie L Sargent School,02110018,   2.1,   8.8,   5.2,  78.9,   0.5,   0.0,   4.5,  50.8,  49.2
North Andover - Atkinson,02110001,   4.8,  11.4,  20.1,  59.3,   0.5,   0.0,   3.9,  51.1,  48.9
North Andover - Franklin,02110010,   1.5,  14.6,   7.1,  73.0,   0.4,   0.0,   3.3,  56.2,  43.8
North Andover - Kittredge,02110015,   3.8,   5.2,   6.6,  79.2,   0.0,   0.3,   4.9,  56.6,  43.4
North Andover - North Andover High,02110505,   3.1,   6.8,   8.9,  79.4,   0.2,   0.4,   1.3,  48.0,  52.0
North Andover - North Andover Middle,02110305,   3.4,   7.2,   9.5,  77.7,   0.2,   0.1,   1.8,  51.2,  48.8
North Andover - Thomson,02110020,   2.3,   4.9,  17.1,  71.0,   0.0,   0.0,   4.6,  47.5,  52.5
North Attleborough - Amvet Boulevard,02120007,   3.3,  11.6,   5.8,  74.4,   0.5,   0.0,   4.5,  48.7,  51.3
North Attleborough - Community,02120030,   6.3,   3.8,   9.4,  72.8,   0.0,   0.0,   7.8,  57.2,  42.8
North Attleborough - Falls,02120010,   2.9,   5.1,   6.2,  82.5,   0.0,   0.4,   2.9,  51.6,  48.4
North Attleborough - Joseph W Martin Jr Elementary,02120013,   3.3,   4.4,   2.2,  84.6,   0.2,   0.2,   5.2,  50.5,  49.5
North Attleborough - North Attleboro High,02120505,   3.1,   6.1,   5.5,  82.3,   0.3,   0.1,   2.5,  49.5,  50.4
North Attleborough - North Attleborough Early Learning Center,02120020,   2.4,  11.9,   5.6,  75.4,   0.8,   0.8,   3.2,  62.7,  37.3
North Attleborough - North Attleborough Middle,02120305,   2.2,   6.3,   4.5,  83.3,   0.2,   0.1,   3.4,  51.3,  48.7
