2017-18 Enrollment By Race/Gender Report (School) ,,,,,,,,,,
School Name,School Code,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Athol-Royalston - Athol-Royalston Middle School,06150305,   1.8,   0.8,  10.2,  82.6,   0.0,   0.0,   4.6,  51.4,  48.6
Athol-Royalston - Royalston Community School,06150050,   1.4,   0.7,   2.2,  92.8,   0.0,   0.0,   2.9,  50.4,  49.6
Atlantis Charter (District) - Atlantis Charter School,04910550,   5.0,   1.7,  10.8,  78.4,   0.1,   0.0,   4.0,  46.9,  53.1
Attleboro - A. Irvin Studley Elementary School,00160001,   4.4,   3.9,  17.2,  66.7,   0.3,   0.3,   7.3,  52.3,  47.7
Attleboro - Attleboro Community Academy,00160515,   4.9,   1.6,  14.8,  75.4,   0.0,   0.0,   3.3,  57.4,  42.6
Attleboro - Attleboro High,00160505,   5.8,   4.4,  13.6,  70.5,   0.4,   0.3,   5.0,  53.0,  47.0
Attleboro - Cyril K. Brennan Middle School,00160315,   6.0,   4.5,  19.6,  63.7,   0.3,   0.0,   5.8,  53.6,  46.4
Attleboro - Early Learning Center,00160008,   5.4,   3.8,  10.9,  72.8,   0.0,   0.0,   7.1,  59.8,  40.2
Attleboro - Hill-Roberts Elementary School,00160045,   5.9,   6.1,  11.1,  67.9,   0.9,   0.0,   8.1,  52.2,  47.8
Attleboro - Hyman Fine Elementary School,00160040,   4.1,   5.4,  14.5,  67.9,   0.0,   0.0,   8.1,  50.1,  49.9
Attleboro - Peter Thacher Elementary School,00160050,   5.7,   6.7,  11.7,  66.4,   0.5,   0.0,   9.0,  51.2,  48.8
Attleboro - Robert J. Coelho Middle School,00160305,   3.6,   3.3,  11.3,  75.5,   0.0,   0.0,   6.3,  51.5,  48.5
Attleboro - Thomas Willett Elementary School,00160035,   7.6,   3.9,  14.1,  64.4,   0.0,   0.0,   9.9,  51.0,  49.0
Attleboro - Wamsutta Middle School,00160320,   6.3,   6.1,  17.0,  67.0,   0.2,   0.2,   3.3,  53.3,  46.7
Auburn - Auburn Middle,00170305,   1.4,   3.5,   7.9,  84.0,   0.0,   0.0,   3.2,  53.6,  46.4
Auburn - Auburn Senior High,00170505,   2.0,   5.0,   6.2,  83.3,   0.2,   0.0,   3.2,  46.6,  53.4
Auburn - Bryn Mawr,00170010,   1.0,   2.0,  10.7,  82.9,   0.0,   0.0,   3.3,  51.2,  48.8
Auburn - Pakachoag School,00170025,   2.3,   4.3,   8.0,  81.1,   0.0,   0.0,   4.3,  53.8,  46.2
Auburn - Swanson Road Intermediate School,00170030,   1.9,   4.5,   9.9,  80.4,   0.0,   0.0,   3.3,  48.0,  52.0
Avon - Avon Middle High School,00180510,  35.3,   4.5,   6.7,  49.4,   0.0,   0.0,   4.2,  52.2,  47.1
Avon - Ralph D Butler,00180010,  23.4,   4.3,   8.9,  57.7,   1.0,   0.0,   4.6,  54.3,  45.7
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,   7.3,   2.2,   9.5,  71.6,   1.0,   0.0,   8.3,  48.9,  51.1
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,   3.8,   2.4,  10.0,  78.1,   1.1,   1.1,   3.5,  51.9,  48.1
Ayer Shirley School District - Lura A. White Elementary School,06160001,   1.8,   1.8,   9.0,  83.5,   0.0,   0.3,   3.8,  53.3,  46.8
Ayer Shirley School District - Page Hilltop Elementary School,06160002,   4.9,   3.6,  12.1,  73.4,   0.2,   0.2,   5.5,  52.9,  47.1
Barnstable - Barnstable High,00200505,   8.8,   2.3,  11.8,  72.3,   0.6,   0.4,   3.7,  49.9,  50.1
Barnstable - Barnstable Intermediate School,00200315,   7.7,   1.9,  13.0,  71.2,   0.3,   0.0,   5.8,  49.7,  50.3
Barnstable - Barnstable United Elementary School,00200050,   6.0,   2.2,  13.5,  74.1,   0.4,   0.5,   3.4,  51.7,  48.3
Barnstable - Centerville Elementary,00200010,   5.4,   1.5,   8.1,  79.2,   0.0,   0.0,   5.8,  52.9,  47.1
Barnstable - Enoch Cobb Early Learning Center,00200001,   8.1,   0.7,  19.3,  63.0,   1.5,   0.0,   7.4,  55.6,  44.4
Barnstable - Hyannis West Elementary,00200025,  16.5,   3.3,  32.6,  36.8,   0.3,   0.0,  10.5,  53.9,  46.1
Barnstable - West Barnstable Elementary,00200005,   5.0,   0.8,   7.3,  82.3,   0.0,   0.0,   4.6,  55.4,  44.6
Barnstable - West Villages Elementary School,00200045,   2.8,   0.2,   5.3,  87.0,   0.2,   0.0,   4.4,  51.5,  48.5
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,04270010,  17.3,   3.3,  24.1,  49.8,   0.7,   0.0,   4.9,  50.8,  48.9
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,  25.8,   0.9,  66.7,   5.2,   0.0,   0.2,   1.1,  50.8,  49.2
Bedford - Bedford High,00230505,   7.1,  12.0,   7.8,  67.2,   0.0,   0.2,   5.6,  50.3,  49.4
Bedford - John Glenn Middle,00230305,   6.0,  16.6,   5.3,  67.8,   0.0,   0.0,   4.3,  51.5,  48.5
Bedford - Lt Elezer Davis,00230010,   5.5,  18.9,   5.5,  61.6,   0.0,   0.0,   8.4,  48.2,  51.8
Bedford - Lt Job Lane School,00230012,   5.3,  17.7,   3.9,  70.1,   0.0,   0.0,   3.0,  52.5,  47.5
Belchertown - Belchertown High,00240505,   2.1,   1.7,   3.5,  90.6,   0.3,   0.1,   1.7,  51.8,  48.2
Belchertown - Chestnut Hill Community School,00240006,   2.2,   2.2,   4.3,  89.2,   0.2,   0.4,   1.6,  48.2,  51.8
Belchertown - Cold Spring,00240005,   0.5,   2.1,   8.3,  85.5,   0.0,   0.0,   3.6,  49.2,  50.8
Belchertown - Jabish Middle School,00240025,   1.0,   2.0,   1.8,  92.0,   0.0,   0.5,   2.8,  52.5,  47.5
Belchertown - Swift River Elementary,00240018,   2.4,   1.1,   4.9,  86.3,   0.6,   0.0,   4.7,  51.4,  48.6
Bellingham - Bellingham Early Childhood Center,00250003,   2.7,   2.7,   1.8,  89.1,   0.0,   0.9,   2.7,  53.6,  46.4
Bellingham - Bellingham High School,00250505,   2.4,   3.0,   4.7,  87.4,   0.3,   0.0,   2.2,  52.2,  47.8
Bellingham - Bellingham Memorial School,00250315,   1.9,   3.9,   4.2,  87.8,   0.3,   0.0,   1.9,  49.1,  50.9
Bellingham - Keough Memorial Academy,00250510,   0.0,   0.0,  11.8,  88.2,   0.0,   0.0,   0.0,  55.9,  41.2
Bellingham - South Elementary,00250020,   1.2,   1.2,   4.5,  91.3,   0.0,   0.6,   1.2,  51.3,  48.7
Bellingham - Stall Brook,00250025,   3.1,   1.6,   3.7,  86.6,   0.0,   2.2,   2.8,  51.2,  48.8
Belmont - Belmont High,00260505,   4.2,  17.5,   3.7,  69.9,   0.1,   0.1,   4.6,  48.5,  51.5
Belmont - Daniel Butler,00260015,   3.1,  26.0,   7.2,  55.4,   0.5,   0.0,   7.7,  54.4,  45.6
Belmont - Mary Lee Burbank,00260010,   3.2,  19.5,   4.0,  63.4,   0.0,   0.5,   9.4,  50.8,  49.2
Belmont - Roger E Wellington,00260035,   1.9,  15.5,   3.2,  69.9,   0.0,   0.0,   9.4,  53.6,  46.4
Belmont - Winn Brook,00260005,   2.0,  25.9,   3.7,  60.6,   0.2,   0.0,   7.6,  53.5,  46.5
Belmont - Winthrop L Chenery Middle,00260305,   3.9,  17.8,   4.9,  66.7,   0.1,   0.1,   6.5,  49.1,  50.9
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,  84.7,   0.8,  11.0,   2.0,   0.0,   0.0,   1.4,  49.4,  50.6
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,   2.3,  22.6,   3.6,  67.5,   0.0,   0.0,   4.1,  48.5,  51.5
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,  14.5,   3.7,  48.6,  31.1,   0.0,   0.0,   2.0,  50.7,  49.3
Berkley - Berkley Community School,00270010,   0.4,   0.2,   0.9,  95.1,   0.2,   0.0,   3.2,  48.6,  51.4
Berkley - Berkley Middle School,00270305,   0.5,   0.5,   2.0,  94.1,   0.0,   0.0,   2.8,  50.1,  49.9
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,  12.4,   3.4,   8.8,  70.6,   0.3,   0.3,   4.2,  50.0,  50.0
Berkshire Hills - Monument Mt Regional High,06180505,   2.1,   1.9,   6.5,  85.3,   0.0,   0.4,   3.8,  53.2,  46.8
Berkshire Hills - Monument Valley Regional Middle School,06180310,   1.9,   3.7,   7.8,  82.1,   0.3,   0.0,   4.3,  49.5,  50.5
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,   0.9,   2.6,  11.2,  76.7,   0.0,   0.0,   8.6,  52.9,  47.1
Berlin - Berlin Memorial,00280005,   0.0,   1.6,   4.9,  90.7,   0.0,   0.0,   2.7,  56.3,  43.7
Berlin-Boylston - Tahanto Regional High,06200505,   1.9,   3.0,   3.5,  89.1,   0.0,   0.0,   2.5,  54.2,  45.8
Beverly - Ayers/Ryal Side School,00300055,   3.0,   4.2,  13.0,  76.6,   0.0,   0.0,   3.2,  53.5,  46.5
Beverly - Beverly High,00300505,   3.2,   2.9,  12.1,  78.6,   0.0,   0.2,   3.0,  49.4,  50.5
Beverly - Briscoe Middle,00300305,   3.4,   2.4,  11.2,  79.8,   0.0,   0.0,   3.1,  53.6,  46.4
Beverly - Centerville Elementary,00300010,   3.6,   0.8,  16.3,  74.9,   0.0,   0.0,   4.4,  51.1,  48.9
Beverly - Cove Elementary,00300015,   2.4,   1.4,  12.8,  77.6,   0.0,   0.2,   5.5,  52.2,  47.8
Beverly - Hannah Elementary,00300033,   2.0,   1.5,  13.6,  78.5,   0.0,   0.0,   4.3,  54.0,  46.0
Beverly - McKeown School,00300002,   3.5,   5.3,  13.2,  71.9,   0.0,   0.0,   6.1,  61.4,  38.6
Beverly - North Beverly Elementary,00300040,   2.5,   2.3,  15.0,  76.9,   0.3,   0.0,   3.0,  50.1,  49.9
Billerica - Billerica Memorial High School,00310505,   3.4,   7.2,   5.1,  81.9,   0.1,   0.2,   2.0,  50.7,  49.3
Billerica - Eugene C Vining,00310030,   2.6,   5.6,  12.3,  72.3,   0.0,   0.0,   7.2,  56.9,  43.1
Billerica - Frederick J Dutile,00310007,   4.8,   4.0,   5.1,  84.2,   0.0,   0.0,   1.8,  49.5,  50.5
Billerica - Hajjar Elementary,00310026,   6.1,   9.3,   9.1,  73.2,   0.2,   0.0,   2.2,  50.9,  49.1
Billerica - John F Kennedy,00310012,   1.3,   3.5,   4.2,  88.8,   0.0,   0.0,   2.2,  47.6,  52.4
Billerica - Locke Middle,00310310,   3.0,   6.3,   4.7,  82.4,   0.0,   0.6,   3.0,  52.2,  47.8
Billerica - Marshall Middle School,00310305,   3.5,   6.3,   4.9,  83.7,   0.3,   0.2,   1.1,  50.3,  49.7
Billerica - Parker,00310015,   5.4,  10.8,   7.4,  73.1,   0.2,   0.0,   3.2,  54.0,  46.0
Billerica - Thomas Ditson,00310005,   5.8,  10.3,   6.2,  72.6,   0.0,   0.0,   5.2,  49.4,  50.6
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,   0.4,   1.4,   3.4,  93.0,   0.0,   0.0,   1.8,  50.1,  49.9
Blackstone-Millville - A F Maloney,06220015,   1.7,   1.7,   6.7,  84.6,   0.0,   0.0,   5.4,  49.2,  50.8
Blackstone-Millville - Blackstone Millville RHS,06220505,   1.0,   1.7,   5.9,  90.7,   0.0,   0.0,   0.7,  51.1,  48.9
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,   1.9,   0.5,   3.8,  89.9,   0.2,   0.0,   3.8,  50.5,  49.5
Blackstone-Millville - John F Kennedy Elementary,06220008,   1.7,   0.3,   9.1,  83.1,   0.0,   0.0,   5.7,  56.4,  43.6
Blackstone-Millville - Millville Elementary,06220010,   0.0,   1.4,   6.0,  89.5,   0.0,   0.0,   3.2,  49.5,  50.5
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,  22.0,   0.9,  12.4,  59.4,   0.7,   0.1,   4.4,  55.4,  44.6
Boston - Another Course To College,00350541,  45.1,   4.0,  40.2,   8.0,   0.0,   0.4,   2.2,  54.9,  45.1
Boston - Baldwin Early Learning Center,00350003,   9.2,  28.9,  31.2,  25.4,   0.0,   0.0,   5.2,  60.1,  39.9
Boston - Beethoven,00350021,  27.8,   2.5,  25.9,  40.4,   0.0,   0.0,   3.4,  48.5,  51.5
Boston - Blackstone,00350390,  25.4,   1.7,  66.8,   3.5,   0.2,   0.2,   2.3,  53.2,  46.8
Boston - Boston Adult Academy,00350548,  51.3,   5.2,  40.3,   1.9,   0.0,   0.6,   0.6,  51.3,  48.7
Boston - Boston Arts Academy,00350546,  40.3,   4.1,  37.5,  13.2,   0.4,   0.2,   4.3,  33.7,  66.3
Boston - Boston Collaborative High School,00350755,  44.0,   3.8,  45.1,   5.5,   0.5,   0.0,   1.1,  54.9,  45.1
